79	0.016	1	0	task-0:0.294	|	0.371508	0.234865	0.231335	0.223155	0.218186	0.218337	0.216999	0.215912	0.214835	0.213585	0.211832	0.208402	0.222741	0.20765	0.207257	0.206712	0.205366	0.20275	0.201374	0.275619	0.199139	0.199009	0.19869	0.198265	0.198688	0.198729	0.197814	0.197761	0.197592	0.197369	0.197023	0.197345	0.19694	0.172734	0.170279	0.15499	0.137755	0.115306	0.0877248	0.0852243	0.0748591	0.068753	0.0621512	0.049848	0.0331971	0.0162788	

79	0	1	0	task-0:0.294	|	0.371508	0.234865	0.231335	0.223155	0.218186	0.218337	0.216999	0.215912	0.214835	0.213585	0.211832	0.208402	0.222741	0.20765	0.207257	0.206712	0.205366	0.20275	0.201374	0.275619	0.199139	0.199009	0.19869	0.198265	0.198688	0.198729	0.197814	0.197761	0.197592	0.197369	0.197023	0.197345	0.19694	0.172734	0.170279	0.15499	0.137755	0.115306	0.0877248	0.0852243	0.0748591	0.068753	0.0621512	0.049848	0.0331971	0.0162788	

79	0.016	1	0	task-0:0.294	|	0.371508	0.234865	0.231335	0.223155	0.218186	0.218337	0.216999	0.215912	0.214835	0.213585	0.211832	0.208402	0.222741	0.20765	0.207257	0.206712	0.205366	0.20275	0.201374	0.275619	0.199139	0.199009	0.19869	0.198265	0.198688	0.198729	0.197814	0.197761	0.197592	0.197369	0.197023	0.197345	0.19694	0.172734	0.170279	0.15499	0.137755	0.115306	0.0877248	0.0852243	0.0748591	0.068753	0.0621512	0.049848	0.0331971	0.0162788	

79	0	1	0	task-0:0.294	|	0.371508	0.234865	0.231335	0.223155	0.218186	0.218337	0.216999	0.215912	0.214835	0.213585	0.211832	0.208402	0.222741	0.20765	0.207257	0.206712	0.205366	0.20275	0.201374	0.275619	0.199139	0.199009	0.19869	0.198265	0.198688	0.198729	0.197814	0.197761	0.197592	0.197369	0.197023	0.197345	0.19694	0.172734	0.170279	0.15499	0.137755	0.115306	0.0877248	0.0852243	0.0748591	0.068753	0.0621512	0.049848	0.0331971	0.0162788	

79	0.015	1	0	task-0:0.294	|	0.371508	0.234865	0.231335	0.223155	0.218186	0.218337	0.216999	0.215912	0.214835	0.213585	0.211832	0.208402	0.222741	0.20765	0.207257	0.206712	0.205366	0.20275	0.201374	0.275619	0.199139	0.199009	0.19869	0.198265	0.198688	0.198729	0.197814	0.197761	0.197592	0.197369	0.197023	0.197345	0.19694	0.172734	0.170279	0.15499	0.137755	0.115306	0.0877248	0.0852243	0.0748591	0.068753	0.0621512	0.049848	0.0331971	0.0162788	

79	0	1	0	task-0:0.294	|	0.371508	0.234865	0.231335	0.223155	0.218186	0.218337	0.216999	0.215912	0.214835	0.213585	0.211832	0.208402	0.222741	0.20765	0.207257	0.206712	0.205366	0.20275	0.201374	0.275619	0.199139	0.199009	0.19869	0.198265	0.198688	0.198729	0.197814	0.197761	0.197592	0.197369	0.197023	0.197345	0.19694	0.172734	0.170279	0.15499	0.137755	0.115306	0.0877248	0.0852243	0.0748591	0.068753	0.0621512	0.049848	0.0331971	0.0162788	

79	0	1	0	task-0:0.294	|	0.371508	0.234865	0.231335	0.223155	0.218186	0.218337	0.216999	0.215912	0.214835	0.213585	0.211832	0.208402	0.222741	0.20765	0.207257	0.206712	0.205366	0.20275	0.201374	0.275619	0.199139	0.199009	0.19869	0.198265	0.198688	0.198729	0.197814	0.197761	0.197592	0.197369	0.197023	0.197345	0.19694	0.172734	0.170279	0.15499	0.137755	0.115306	0.0877248	0.0852243	0.0748591	0.068753	0.0621512	0.049848	0.0331971	0.0162788	

79	0.016	1	0	task-0:0.294	|	0.371508	0.234865	0.231335	0.223155	0.218186	0.218337	0.216999	0.215912	0.214835	0.213585	0.211832	0.208402	0.222741	0.20765	0.207257	0.206712	0.205366	0.20275	0.201374	0.275619	0.199139	0.199009	0.19869	0.198265	0.198688	0.198729	0.197814	0.197761	0.197592	0.197369	0.197023	0.197345	0.19694	0.172734	0.170279	0.15499	0.137755	0.115306	0.0877248	0.0852243	0.0748591	0.068753	0.0621512	0.049848	0.0331971	0.0162788	

