112	0.062	1	0	task-3:0.456	task-0:0.158	task-1:0.078	task-2:0.448	|	0.0615947	0.0595086	0.0559914	0.0556638	0.0555026	0.0551579	0.0545891	0.0543126	0.0559489	0.0540725	0.0540287	0.0539413	0.0537795	0.0535252	0.0535055	0.0535627	0.0532631	0.053245	0.0532098	0.053177	0.0531578	0.0531392	0.0522465	0.0509407	0.0476431	0.0426448	0.0384798	0.0339765	0.0308969	0.0289792	0.027399	0.024554	0.0205123	0.0176694	0.0159218	0.0139487	0.0124771	0.0110227	0.0107202	0.0102241	0.00926466	0.00780339	0.00647516	0.00624035	0.00595933	0.00572033	0.00558754	0.00534799	0.00493255	0.00459748	0.00448918	0.00429474	0.0038943	0.00312425	0.00208937	

112	0.047	1	0	task-3:0.456	task-0:0.158	task-1:0.078	task-2:0.448	|	0.0615947	0.0595086	0.0559914	0.0556638	0.0555026	0.0551579	0.0545891	0.0543126	0.0559489	0.0540725	0.0540287	0.0539413	0.0537795	0.0535252	0.0535055	0.0535627	0.0532631	0.053245	0.0532098	0.053177	0.0531578	0.0531392	0.0522465	0.0509407	0.0476431	0.0426448	0.0384798	0.0339765	0.0308969	0.0289792	0.027399	0.024554	0.0205123	0.0176694	0.0159218	0.0139487	0.0124771	0.0110227	0.0107202	0.0102241	0.00926466	0.00780339	0.00647516	0.00624035	0.00595933	0.00572033	0.00558754	0.00534799	0.00493255	0.00459748	0.00448918	0.00429474	0.0038943	0.00312425	0.00208937	

112	0.047	1	0	task-3:0.456	task-0:0.158	task-1:0.078	task-2:0.448	|	0.0615947	0.0595086	0.0559914	0.0556638	0.0555026	0.0551579	0.0545891	0.0543126	0.0559489	0.0540725	0.0540287	0.0539413	0.0537795	0.0535252	0.0535055	0.0535627	0.0532631	0.053245	0.0532098	0.053177	0.0531578	0.0531392	0.0522465	0.0509407	0.0476431	0.0426448	0.0384798	0.0339765	0.0308969	0.0289792	0.027399	0.024554	0.0205123	0.0176694	0.0159218	0.0139487	0.0124771	0.0110227	0.0107202	0.0102241	0.00926466	0.00780339	0.00647516	0.00624035	0.00595933	0.00572033	0.00558754	0.00534799	0.00493255	0.00459748	0.00448918	0.00429474	0.0038943	0.00312425	0.00208937	

112	0.062	1	0	task-3:0.456	task-0:0.158	task-1:0.078	task-2:0.448	|	0.0615947	0.0595086	0.0559914	0.0556638	0.0555026	0.0551579	0.0545891	0.0543126	0.0559489	0.0540725	0.0540287	0.0539413	0.0537795	0.0535252	0.0535055	0.0535627	0.0532631	0.053245	0.0532098	0.053177	0.0531578	0.0531392	0.0522465	0.0509407	0.0476431	0.0426448	0.0384798	0.0339765	0.0308969	0.0289792	0.027399	0.024554	0.0205123	0.0176694	0.0159218	0.0139487	0.0124771	0.0110227	0.0107202	0.0102241	0.00926466	0.00780339	0.00647516	0.00624035	0.00595933	0.00572033	0.00558754	0.00534799	0.00493255	0.00459748	0.00448918	0.00429474	0.0038943	0.00312425	0.00208937	

108	0.063	1	0	task-3:0.456	task-0:0.162	task-1:0.084	task-2:0.444	|	0.0548784	0.0540758	0.0532531	0.0532093	0.0531353	0.0530073	0.0528759	0.0528702	0.0529555	0.0528572	0.0528558	0.0528529	0.0528497	0.052844	0.0528413	0.0521061	0.0510074	0.0480864	0.0431996	0.0383603	0.0344196	0.0331981	0.0309499	0.0287532	0.0248948	0.0199125	0.0204048	0.0183735	0.0171223	0.0162023	0.0152963	0.0144023	0.0131227	0.0115537	0.0104154	0.00940857	0.00928138	0.0090137	0.00853253	0.00759225	0.00627682	0.0052526	0.00595799	0.0045832	0.00432926	0.00401695	0.00371736	0.00349223	0.00322103	0.00308581	0.00282709	0.00272104	0.00249004	

112	0.062	1	0	task-3:0.456	task-0:0.158	task-1:0.078	task-2:0.448	|	0.0615947	0.0595086	0.0559914	0.0556638	0.0555026	0.0551579	0.0545891	0.0543126	0.0559489	0.0540725	0.0540287	0.0539413	0.0537795	0.0535252	0.0535055	0.0535627	0.0532631	0.053245	0.0532098	0.053177	0.0531578	0.0531392	0.0522465	0.0509407	0.0476431	0.0426448	0.0384798	0.0339765	0.0308969	0.0289792	0.027399	0.024554	0.0205123	0.0176694	0.0159218	0.0139487	0.0124771	0.0110227	0.0107202	0.0102241	0.00926466	0.00780339	0.00647516	0.00624035	0.00595933	0.00572033	0.00558754	0.00534799	0.00493255	0.00459748	0.00448918	0.00429474	0.0038943	0.00312425	0.00208937	

112	0.063	1	0	task-3:0.456	task-0:0.158	task-1:0.078	task-2:0.448	|	0.0615947	0.0595086	0.0559914	0.0556638	0.0555026	0.0551579	0.0545891	0.0543126	0.0559489	0.0540725	0.0540287	0.0539413	0.0537795	0.0535252	0.0535055	0.0535627	0.0532631	0.053245	0.0532098	0.053177	0.0531578	0.0531392	0.0522465	0.0509407	0.0476431	0.0426448	0.0384798	0.0339765	0.0308969	0.0289792	0.027399	0.024554	0.0205123	0.0176694	0.0159218	0.0139487	0.0124771	0.0110227	0.0107202	0.0102241	0.00926466	0.00780339	0.00647516	0.00624035	0.00595933	0.00572033	0.00558754	0.00534799	0.00493255	0.00459748	0.00448918	0.00429474	0.0038943	0.00312425	0.00208937	

112	0.047	1	0	task-3:0.456	task-0:0.158	task-1:0.078	task-2:0.448	|	0.0615947	0.0595086	0.0559914	0.0556638	0.0555026	0.0551579	0.0545891	0.0543126	0.0559489	0.0540725	0.0540287	0.0539413	0.0537795	0.0535252	0.0535055	0.0535627	0.0532631	0.053245	0.0532098	0.053177	0.0531578	0.0531392	0.0522465	0.0509407	0.0476431	0.0426448	0.0384798	0.0339765	0.0308969	0.0289792	0.027399	0.024554	0.0205123	0.0176694	0.0159218	0.0139487	0.0124771	0.0110227	0.0107202	0.0102241	0.00926466	0.00780339	0.00647516	0.00624035	0.00595933	0.00572033	0.00558754	0.00534799	0.00493255	0.00459748	0.00448918	0.00429474	0.0038943	0.00312425	0.00208937	

