105	0.078	1	0	task-3:0.06	task-0:0.134	task-1:0.204	task-2:0.132	|	0.0585418	0.0572306	0.0554092	0.0551528	0.0547938	0.0544642	0.0541182	0.0537802	0.0538804	0.053656	0.053616	0.0535475	0.0534785	0.0533661	0.0534019	0.0533119	0.0532962	0.0532665	0.0532305	0.0525891	0.0516128	0.0491419	0.0457065	0.0428999	0.0385723	0.0341659	0.0345249	0.0301743	0.0284406	0.0256564	0.0250785	0.0242104	0.0237834	0.0230165	0.0220396	0.0204394	0.0180098	0.01755	0.0154783	0.0148119	0.0137065	0.0122562	0.0114219	0.0112613	0.0105627	0.0103981	0.0100796	0.00951333	

111	0.047	1	0	task-3:0.046	task-0:0.162	task-1:0.232	task-2:0.112	|	0.057179	0.0570643	0.0568119	0.0564938	0.0558661	0.0550238	0.0546762	0.0544538	0.0543421	0.0542722	0.05422	0.0541387	0.0540885	0.0539998	0.0538853	0.0537839	0.0537726	0.0537312	0.0536791	0.0530637	0.0520557	0.0493169	0.0439141	0.035887	0.0324374	0.0362322	0.0298977	0.0290612	0.0271153	0.0261836	0.024288	0.0210449	0.0172847	0.0234736	0.0169168	0.0164233	0.0160685	0.0153364	0.0139921	0.0121286	0.0140853	0.0203312	0.0125482	0.0181464	0.0107132	0.01014	0.00960618	

165	0.078	2	0	task-3:0.048	task-0:0.156	task-1:0.25	task-2:0.116	|	0.0560368	0.0549764	0.0539719	0.0539061	0.0538435	0.0538054	0.0537561	0.0537232	0.053646	0.0535002	0.0533368	0.0535658	0.0532785	0.0532611	0.0532316	0.0531979	0.0531342	0.0530629	0.0531883	0.0530306	0.0530188	0.0530047	0.0529881	0.052987	0.0529786	0.0529731	0.0529653	0.0529574	0.0526072	0.0517965	0.0495783	0.0454872	0.0410352	0.0440329	0.0411563	0.0383967	0.0381891	0.0372596	0.0355634	0.0323102	0.028334	0.026483	0.0242196	0.0314566	0.0235075	0.0233099	0.0229826	0.0224878	0.0216085	0.0218655	0.020945	0.0207161	0.020334	0.0196318	0.0185372	0.0223942	0.0178311	0.0176328	0.0173016	0.0167762	0.0167723	0.0172386	0.0159565	0.0158296	0.0155829	0.0153193	0.0153593	0.0150592	0.0148233	0.0147013	0.0144924	0.0141572	0.013948	0.0138426	0.0137442	0.0136304	0.0135172	0.0132842	0.0129969	0.0129418	0.0128215	0.0127179	0.0126169	0.0124021	0.012045	0.0119744	0.0148016	0.0109977	0.0108762	0.0108589	0.0108042	0.0107016	0.0105269	0.010182	0.00960957	

165	0.079	2	0	task-3:0.048	task-0:0.156	task-1:0.25	task-2:0.116	|	0.0560368	0.0549764	0.0539719	0.0539061	0.0538435	0.0538054	0.0537561	0.0537232	0.053646	0.0535002	0.0533368	0.0535658	0.0532785	0.0532611	0.0532316	0.0531979	0.0531342	0.0530629	0.0531883	0.0530306	0.0530188	0.0530047	0.0529881	0.052987	0.0529786	0.0529731	0.0529653	0.0529574	0.0526072	0.0517965	0.0495783	0.0454872	0.0410352	0.0440329	0.0411563	0.0383967	0.0381891	0.0372596	0.0355634	0.0323102	0.028334	0.026483	0.0242196	0.0314566	0.0235075	0.0233099	0.0229826	0.0224878	0.0216085	0.0218655	0.020945	0.0207161	0.020334	0.0196318	0.0185372	0.0223942	0.0178311	0.0176328	0.0173016	0.0167762	0.0167723	0.0172386	0.0159565	0.0158296	0.0155829	0.0153193	0.0153593	0.0150592	0.0148233	0.0147013	0.0144924	0.0141572	0.013948	0.0138426	0.0137442	0.0136304	0.0135172	0.0132842	0.0129969	0.0129418	0.0128215	0.0127179	0.0126169	0.0124021	0.012045	0.0119744	0.0148016	0.0109977	0.0108762	0.0108589	0.0108042	0.0107016	0.0105269	0.010182	0.00960957	

165	0.093	2	0	task-3:0.048	task-0:0.156	task-1:0.25	task-2:0.116	|	0.0560368	0.0549764	0.0539719	0.0539061	0.0538435	0.0538054	0.0537561	0.0537232	0.053646	0.0535002	0.0533368	0.0535658	0.0532785	0.0532611	0.0532316	0.0531979	0.0531342	0.0530629	0.0531883	0.0530306	0.0530188	0.0530047	0.0529881	0.052987	0.0529786	0.0529731	0.0529653	0.0529574	0.0526072	0.0517965	0.0495783	0.0454872	0.0410352	0.0440329	0.0411563	0.0383967	0.0381891	0.0372596	0.0355634	0.0323102	0.028334	0.026483	0.0242196	0.0314566	0.0235075	0.0233099	0.0229826	0.0224878	0.0216085	0.0218655	0.020945	0.0207161	0.020334	0.0196318	0.0185372	0.0223942	0.0178311	0.0176328	0.0173016	0.0167762	0.0167723	0.0172386	0.0159565	0.0158296	0.0155829	0.0153193	0.0153593	0.0150592	0.0148233	0.0147013	0.0144924	0.0141572	0.013948	0.0138426	0.0137442	0.0136304	0.0135172	0.0132842	0.0129969	0.0129418	0.0128215	0.0127179	0.0126169	0.0124021	0.012045	0.0119744	0.0148016	0.0109977	0.0108762	0.0108589	0.0108042	0.0107016	0.0105269	0.010182	0.00960957	

94	0.063	1	0	task-3:0.072	task-0:0.104	task-1:0.108	task-2:0.166	|	0.057179	0.0570643	0.0568119	0.0564938	0.0558661	0.0550238	0.0546762	0.0544538	0.0543421	0.0542722	0.05422	0.0541387	0.0540885	0.0539998	0.0538853	0.0537839	0.0537726	0.0537312	0.0536791	0.0531711	0.0523197	0.0500364	0.0456484	0.0399959	0.0364573	0.0331676	0.0311217	0.0274629	0.0229777	0.0169859	0.0135714	0.0399202	0.0121977	0.0120443	0.0118584	0.0117336	0.011538	0.0112234	0.0108034	0.0104238	0.00969382	
