74	0.016	1	task-0:0.26	|	0.263795	0.228848	0.227696	0.225951	0.223897	0.221994	0.220597	0.219092	0.217753	0.216535	0.215491	0.213554	0.215316	0.212563	0.211983	0.211139	0.210029	0.2094	0.208946	0.208566	0.207909	0.207065	0.205318	0.202666	0.22562	0.202277	0.202089	0.201734	0.201484	0.201259	0.201142	0.200885	0.200601	0.200416	0.200279	0.200205	0.200076	0.199942	0.174588	0.168937	0.160287	0.148333	0.140203	0.126155	0.101896	0.0797597	0.0993111	0.066813	0.0635849	0.057634	0.0544998	0.0576866	

126	0	1	task-0:0.174	|	0.266741	0.219761	0.21875	0.216724	0.214769	0.213083	0.2123	0.210735	0.208764	0.21108	0.208106	0.207693	0.207149	0.206593	0.206167	0.206053	0.205709	0.205269	0.204697	0.204335	0.20427	0.203999	0.203774	0.203214	0.202113	0.20241	0.203615	0.200715	0.200604	0.200299	0.199659	0.198943	0.203826	0.198585	0.198504	0.198315	0.198215	0.198097	0.198017	0.19796	0.197882	0.197826	0.197736	0.197656	0.197464	0.197163	0.202625	0.17713	0.167435	0.164457	0.160563	0.159369	0.154655	0.15307	0.149631	0.148633	0.144909	0.139608	0.134442	0.130589	0.129979	0.126746	0.123602	0.116971	0.121038	0.111908	0.108705	0.107796	0.106116	0.105448	0.103975	0.102349	0.100788	0.0985938	0.0973898	0.0952707	

74	0.016	1	task-0:0.26	|	0.263795	0.228848	0.227696	0.225951	0.223897	0.221994	0.220597	0.219092	0.217753	0.216535	0.215491	0.213554	0.215316	0.212563	0.211983	0.211139	0.210029	0.2094	0.208946	0.208566	0.207909	0.207065	0.205318	0.202666	0.22562	0.202277	0.202089	0.201734	0.201484	0.201259	0.201142	0.200885	0.200601	0.200416	0.200279	0.200205	0.200076	0.199942	0.174588	0.168937	0.160287	0.148333	0.140203	0.126155	0.101896	0.0797597	0.0993111	0.066813	0.0635849	0.057634	0.0544998	0.0576866	

86	0	1	task-0:0.268	|	0.318953	0.222959	0.221067	0.218788	0.216991	0.214955	0.212269	0.21957	0.211842	0.211612	0.210896	0.209391	0.208128	0.20918	0.207364	0.207154	0.206715	0.205743	0.205068	0.206634	0.203658	0.203473	0.203082	0.202291	0.200913	0.205524	0.202096	0.199795	0.19965	0.199509	0.199308	0.199058	0.198979	0.198801	0.198726	0.198641	0.198545	0.198504	0.198387	0.198237	0.19791	0.197627	0.198643	0.197345	0.197282	0.172687	0.169311	0.161642	0.149475	0.127854	0.104344	0.111727	0.0942489	0.0885571	0.0866518	0.0820108	0.0739552	0.0623898	0.0627144	0.0562872	0.0531688	0.0518017	0.0490771	0.0438248	0.0421218	0.0396178	

74	0.015	1	task-0:0.26	|	0.263795	0.228848	0.227696	0.225951	0.223897	0.221994	0.220597	0.219092	0.217753	0.216535	0.215491	0.213554	0.215316	0.212563	0.211983	0.211139	0.210029	0.2094	0.208946	0.208566	0.207909	0.207065	0.205318	0.202666	0.22562	0.202277	0.202089	0.201734	0.201484	0.201259	0.201142	0.200885	0.200601	0.200416	0.200279	0.200205	0.200076	0.199942	0.174588	0.168937	0.160287	0.148333	0.140203	0.126155	0.101896	0.0797597	0.0993111	0.066813	0.0635849	0.057634	0.0544998	0.0576866	

74	0	1	task-0:0.26	|	0.263795	0.228848	0.227696	0.225951	0.223897	0.221994	0.220597	0.219092	0.217753	0.216535	0.215491	0.213554	0.215316	0.212563	0.211983	0.211139	0.210029	0.2094	0.208946	0.208566	0.207909	0.207065	0.205318	0.202666	0.22562	0.202277	0.202089	0.201734	0.201484	0.201259	0.201142	0.200885	0.200601	0.200416	0.200279	0.200205	0.200076	0.199942	0.174588	0.168937	0.160287	0.148333	0.140203	0.126155	0.101896	0.0797597	0.0993111	0.066813	0.0635849	0.057634	0.0544998	0.0576866	

