40	0.037	4	0	task-3:0.456	task-0:0.516	task-1:0.406	task-2:0.454	|	0.0580929	0.0807456	0.0654665	0.0547891	0.058742	0.0579762	0.0548078	0.0546521	0.0547258	0.0544028	0.0544396	0.0544163	0.0542705	0.0539238	0.0535937	0.0532866	0.0532586	0.0531488	0.0526999	0.0524993	0.0524486	0.0523241	0.0518506	0.0514892	0.0508764	0.0504168	0.0500131	0.0497235	0.049214	0.0486618	0.0476133	0.046775	0.0459636	0.0447113	0.0436232	0.042792	0.0417493	0.0409493	0.0402759	0.0397483	
20	0.014	4	0	task-3:0.42	task-0:0.494	task-1:0.46	task-2:0.502	|	0.0586018	0.0928166	0.0789287	0.0582307	0.0558813	0.0551617	0.055102	0.0550727	0.0545067	0.0546797	0.0547032	0.0544998	0.054571	0.0546603	0.0547471	0.0536568	0.0481801	0.0459817	0.0424669	0.0391131	

24	0.02	4	0	task-3:0.362	task-0:0.366	task-1:0.396	task-2:0.34	|	0.054885	0.0988516	0.0915753	0.0636412	0.0558824	0.055884	0.0550802	0.0557291	0.0545054	0.0556266	0.0558797	0.0548842	0.0542684	0.0570687	0.0546727	0.0536997	0.0517285	0.0531792	0.0527241	0.0514645	0.0489708	0.0441179	0.0411566	0.0397548	

34	0.028	4	0	task-3:0.358	task-0:0.46	task-1:0.22	task-2:0.368	|	0.0686828	0.0827569	0.0743327	0.0545439	0.0562072	0.0561978	0.0534594	0.0548129	0.0546616	0.0522646	0.0505991	0.0500041	0.0489285	0.0476986	0.0465583	0.0463745	0.0467387	0.0458282	0.0446798	0.0447112	0.0448109	0.0449417	0.0449981	0.0449031	0.0443775	0.0448983	0.0442623	0.0430371	0.0413321	0.0419529	0.0419717	0.0418685	0.0401223	0.0361417	

34	0.022	4	0	task-3:0.358	task-0:0.46	task-1:0.22	task-2:0.368	|	0.0686828	0.0827569	0.0743327	0.0545439	0.0562072	0.0561978	0.0534594	0.0548129	0.0546616	0.0522646	0.0505991	0.0500041	0.0489285	0.0476986	0.0465583	0.0463745	0.0467387	0.0458282	0.0446798	0.0447112	0.0448109	0.0449417	0.0449981	0.0449031	0.0443775	0.0448983	0.0442623	0.0430371	0.0413321	0.0419529	0.0419717	0.0418685	0.0401223	0.0361417	

24	0.014	4	0	task-3:0.322	task-0:0.428	task-1:0.466	task-2:0.348	|	0.0611182	0.0779497	0.0729111	0.0543902	0.0679971	0.0563835	0.0521438	0.0542914	0.0539175	0.051555	0.0532531	0.051583	0.050827	0.0508079	0.0505517	0.0500899	0.0445793	0.0431913	0.0474898	0.0477152	0.0469716	0.0455129	0.0423861	0.0367502	

29	0.017	4	0	task-3:0.324	task-0:0.238	task-1:0.304	task-2:0.322	|	0.0528017	0.071767	0.0640922	0.0564072	0.055021	0.0548373	0.0542761	0.0543304	0.053971	0.0535171	0.0524153	0.0502369	0.0484816	0.0471196	0.0603427	0.0533358	0.0620196	0.0750576	0.0789865	0.0808846	0.0733017	0.0630958	0.0529812	0.0512944	0.0485092	0.053184	0.0497724	0.0405135	0.0383186	

31	0.018	4	0	task-3:0.466	task-0:0.36	task-1:0.446	task-2:0.432	|	0.0576176	0.0883032	0.0727018	0.0547863	0.0617805	0.0614062	0.0557412	0.0542521	0.0533937	0.0510002	0.0512379	0.0514943	0.0501417	0.0493017	0.0491535	0.0482537	0.0474519	0.0469342	0.0465017	0.0460242	0.0458427	0.0454373	0.0449671	0.0442487	0.0440141	0.0436195	0.042785	0.0417376	0.0412487	0.0409415	0.0399622	

27	0.017	4	0	task-3:0.304	task-0:0.524	task-1:0.31	task-2:0.314	|	0.0760406	0.0611212	0.057092	0.054697	0.0546987	0.0548219	0.0548239	0.0545238	0.0548045	0.0549267	0.0550252	0.0548704	0.0552495	0.0548643	0.0546794	0.0545469	0.0541225	0.0533997	0.0524272	0.0513785	0.0522102	0.046645	0.044616	0.0443964	0.0427914	0.0426153	0.039365	

18	0.011	4	0	task-3:0.43	task-0:0.486	task-1:0.458	task-2:0.476	|	0.0548973	0.0853537	0.0658085	0.0550294	0.0568646	0.0567004	0.0536829	0.053095	0.0522347	0.0506717	0.0495147	0.0483726	0.0476485	0.0463464	0.0446172	0.0458961	0.0423565	0.038349	

20	0.012	4	0	task-3:0.42	task-0:0.494	task-1:0.46	task-2:0.502	|	0.0586018	0.0928166	0.0789287	0.0582307	0.0558813	0.0551617	0.055102	0.0550727	0.0545067	0.0546797	0.0547032	0.0544998	0.054571	0.0546603	0.0547471	0.0536568	0.0481801	0.0459817	0.0424669	0.0391131	

34	0.021	4	0	task-3:0.398	task-0:0.404	task-1:0.478	task-2:0.362	|	0.0578432	0.062104	0.0561551	0.0577258	0.0578372	0.0554236	0.0546781	0.0546492	0.0546893	0.0546476	0.0544517	0.0543348	0.0541235	0.0546808	0.0544305	0.0538539	0.0537006	0.0536142	0.0530696	0.0525403	0.0522718	0.0522441	0.0519012	0.0514403	0.0510351	0.0503888	0.0496286	0.048772	0.0478967	0.0473572	0.0459093	0.0445992	0.0453539	0.0397591	

58	0.034	4	0	task-3:0.358	task-0:0.28	task-1:0.216	task-2:0.288	|	0.0585273	0.0898422	0.0870075	0.0660268	0.0547665	0.0550146	0.0547057	0.0535855	0.0545662	0.0543315	0.0530421	0.0520315	0.0524103	0.0519761	0.0513364	0.0507031	0.0501075	0.0496906	0.049979	0.0512537	0.0515187	0.0521686	0.0513778	0.0513565	0.0505992	0.0504232	0.0501582	0.049956	0.049961	0.0497906	0.0496899	0.049567	0.0494613	0.0493525	0.0492231	0.0490825	0.0489285	0.0487792	0.0485393	0.0482171	0.0478923	0.0475886	0.0472253	0.0470141	0.0466135	0.0464237	0.0460964	0.0457901	0.0455799	0.0453644	0.0451937	0.0446939	0.0439747	0.0433225	0.0426539	0.0419097	0.0411096	0.0399821	

20	0.012	4	0	task-3:0.42	task-0:0.494	task-1:0.46	task-2:0.502	|	0.0586018	0.0928166	0.0789287	0.0582307	0.0558813	0.0551617	0.055102	0.0550727	0.0545067	0.0546797	0.0547032	0.0544998	0.054571	0.0546603	0.0547471	0.0536568	0.0481801	0.0459817	0.0424669	0.0391131	

18	0.01	4	0	task-3:0.414	task-0:0.43	task-1:0.58	task-2:0.416	|	0.0670638	0.0650478	0.0571566	0.0547909	0.0547959	0.0546391	0.054623	0.0542985	0.0532405	0.0504803	0.0493242	0.0508928	0.0530382	0.0526714	0.0512321	0.0487711	0.0450666	0.0388026	

34	0.021	4	0	task-3:0.398	task-0:0.404	task-1:0.478	task-2:0.362	|	0.0578432	0.062104	0.0561551	0.0577258	0.0578372	0.0554236	0.0546781	0.0546492	0.0546893	0.0546476	0.0544517	0.0543348	0.0541235	0.0546808	0.0544305	0.0538539	0.0537006	0.0536142	0.0530696	0.0525403	0.0522718	0.0522441	0.0519012	0.0514403	0.0510351	0.0503888	0.0496286	0.048772	0.0478967	0.0473572	0.0459093	0.0445992	0.0453539	0.0397591	

58	0.034	4	0	task-3:0.358	task-0:0.28	task-1:0.216	task-2:0.288	|	0.0585273	0.0898422	0.0870075	0.0660268	0.0547665	0.0550146	0.0547057	0.0535855	0.0545662	0.0543315	0.0530421	0.0520315	0.0524103	0.0519761	0.0513364	0.0507031	0.0501075	0.0496906	0.049979	0.0512537	0.0515187	0.0521686	0.0513778	0.0513565	0.0505992	0.0504232	0.0501582	0.049956	0.049961	0.0497906	0.0496899	0.049567	0.0494613	0.0493525	0.0492231	0.0490825	0.0489285	0.0487792	0.0485393	0.0482171	0.0478923	0.0475886	0.0472253	0.0470141	0.0466135	0.0464237	0.0460964	0.0457901	0.0455799	0.0453644	0.0451937	0.0446939	0.0439747	0.0433225	0.0426539	0.0419097	0.0411096	0.0399821	

20	0.012	4	0	task-3:0.42	task-0:0.494	task-1:0.46	task-2:0.502	|	0.0586018	0.0928166	0.0789287	0.0582307	0.0558813	0.0551617	0.055102	0.0550727	0.0545067	0.0546797	0.0547032	0.0544998	0.054571	0.0546603	0.0547471	0.0536568	0.0481801	0.0459817	0.0424669	0.0391131	

34	0.021	4	0	task-3:0.398	task-0:0.404	task-1:0.478	task-2:0.362	|	0.0578432	0.062104	0.0561551	0.0577258	0.0578372	0.0554236	0.0546781	0.0546492	0.0546893	0.0546476	0.0544517	0.0543348	0.0541235	0.0546808	0.0544305	0.0538539	0.0537006	0.0536142	0.0530696	0.0525403	0.0522718	0.0522441	0.0519012	0.0514403	0.0510351	0.0503888	0.0496286	0.048772	0.0478967	0.0473572	0.0459093	0.0445992	0.0453539	0.0397591	

