95	0.015	1	0	task-0:0.196	|	0.225676	0.215756	0.214695	0.213607	0.212857	0.212282	0.21103	0.210285	0.209631	0.208968	0.208614	0.207915	0.207798	0.207409	0.207293	0.206675	0.206097	0.204752	0.202969	0.213235	0.202433	0.20207	0.202006	0.201717	0.201449	0.201223	0.202698	0.200713	0.200577	0.20016	0.199728	0.198965	0.200411	0.184512	0.220391	0.171504	0.190176	0.161534	0.158727	0.152201	0.147371	0.145907	0.138617	0.132686	0.12707	0.123859	0.121672	0.117626	0.12014	0.114065	0.110655	0.109509	0.108715	0.105853	0.104198	0.101848	0.103886	0.0973782	0.0963927	0.0939103	
77	0.016	1	0	task-0:0.294	|	0.227488	0.225684	0.222664	0.21971	0.21688	0.216829	0.217932	0.213094	0.212594	0.211159	0.208973	0.205488	0.213904	0.225509	0.202471	0.202146	0.2016	0.201151	0.200419	0.199401	0.203528	0.199226	0.198817	0.198771	0.198581	0.198326	0.197783	0.198519	0.198946	0.197101	0.197026	0.196954	0.196876	0.196697	0.196315	0.196154	0.200617	0.195677	0.173281	0.168396	0.155925	0.134364	0.105598	0.0685947	0.066689	0.123295	0.0364945	0.0318447	

96	0	1	0	task-0:0.182	|	0.355253	0.228958	0.225991	0.22093	0.21642	0.213278	0.223454	0.212189	0.211933	0.210988	0.209324	0.209799	0.208824	0.208245	0.207966	0.207591	0.207409	0.206716	0.205745	0.203747	0.201048	0.232099	0.200616	0.200482	0.200134	0.20004	0.19978	0.199618	0.1993	0.199137	0.199111	0.198757	0.198636	0.198519	0.19837	0.182156	0.17365	0.167878	0.158013	0.155258	0.145559	0.142075	0.137402	0.130176	0.125711	0.120925	0.111813	0.107026	0.101811	0.0996966	0.0973291	0.093699	0.0921909	0.0908355	0.087527	0.0867565	0.0853418	0.0827659	0.0806194	0.0793768	0.0766045	0.0762686	0.0749613	0.0731042	0.0711761	0.0665468	0.0612737	0.086386	0.0584283	

77	0.016	1	0	task-0:0.294	|	0.227488	0.225684	0.222664	0.21971	0.21688	0.216829	0.217932	0.213094	0.212594	0.211159	0.208973	0.205488	0.213904	0.225509	0.202471	0.202146	0.2016	0.201151	0.200419	0.199401	0.203528	0.199226	0.198817	0.198771	0.198581	0.198326	0.197783	0.198519	0.198946	0.197101	0.197026	0.196954	0.196876	0.196697	0.196315	0.196154	0.200617	0.195677	0.173281	0.168396	0.155925	0.134364	0.105598	0.0685947	0.066689	0.123295	0.0364945	0.0318447	

77	0	1	0	task-0:0.294	|	0.227488	0.225684	0.222664	0.21971	0.21688	0.216829	0.217932	0.213094	0.212594	0.211159	0.208973	0.205488	0.213904	0.225509	0.202471	0.202146	0.2016	0.201151	0.200419	0.199401	0.203528	0.199226	0.198817	0.198771	0.198581	0.198326	0.197783	0.198519	0.198946	0.197101	0.197026	0.196954	0.196876	0.196697	0.196315	0.196154	0.200617	0.195677	0.173281	0.168396	0.155925	0.134364	0.105598	0.0685947	0.066689	0.123295	0.0364945	0.0318447	

77	0	1	0	task-0:0.294	|	0.227488	0.225684	0.222664	0.21971	0.21688	0.216829	0.217932	0.213094	0.212594	0.211159	0.208973	0.205488	0.213904	0.225509	0.202471	0.202146	0.2016	0.201151	0.200419	0.199401	0.203528	0.199226	0.198817	0.198771	0.198581	0.198326	0.197783	0.198519	0.198946	0.197101	0.197026	0.196954	0.196876	0.196697	0.196315	0.196154	0.200617	0.195677	0.173281	0.168396	0.155925	0.134364	0.105598	0.0685947	0.066689	0.123295	0.0364945	0.0318447	

