89	0.031	1	0	task-3:0.456	task-0:0.214	task-1:0.088	task-2:0.464	|	0.0567372	0.0565166	0.0561153	0.0555738	0.0550685	0.0544917	0.0541385	0.053877	0.0536568	0.0535216	0.0534441	0.0534167	0.0533826	0.0533622	0.0533162	0.0532345	0.0531884	0.0531747	0.0531252	0.0522601	0.0509993	0.0476794	0.0420219	0.0361868	0.0321118	0.0305633	0.0278166	0.0228744	0.0173459	0.0180998	0.0164904	0.0147155	0.0139263	0.0131649	0.0121882	0.0115297	0.010544	0.00897544	

89	0.031	1	0	task-3:0.456	task-0:0.214	task-1:0.088	task-2:0.464	|	0.0567372	0.0565166	0.0561153	0.0555738	0.0550685	0.0544917	0.0541385	0.053877	0.0536568	0.0535216	0.0534441	0.0534167	0.0533826	0.0533622	0.0533162	0.0532345	0.0531884	0.0531747	0.0531252	0.0522601	0.0509993	0.0476794	0.0420219	0.0361868	0.0321118	0.0305633	0.0278166	0.0228744	0.0173459	0.0180998	0.0164904	0.0147155	0.0139263	0.0131649	0.0121882	0.0115297	0.010544	0.00897544	

89	0.047	1	0	task-3:0.456	task-0:0.214	task-1:0.088	task-2:0.464	|	0.0567372	0.0565166	0.0561153	0.0555738	0.0550685	0.0544917	0.0541385	0.053877	0.0536568	0.0535216	0.0534441	0.0534167	0.0533826	0.0533622	0.0533162	0.0532345	0.0531884	0.0531747	0.0531252	0.0522601	0.0509993	0.0476794	0.0420219	0.0361868	0.0321118	0.0305633	0.0278166	0.0228744	0.0173459	0.0180998	0.0164904	0.0147155	0.0139263	0.0131649	0.0121882	0.0115297	0.010544	0.00897544	

89	0.047	1	0	task-3:0.456	task-0:0.214	task-1:0.088	task-2:0.464	|	0.0567372	0.0565166	0.0561153	0.0555738	0.0550685	0.0544917	0.0541385	0.053877	0.0536568	0.0535216	0.0534441	0.0534167	0.0533826	0.0533622	0.0533162	0.0532345	0.0531884	0.0531747	0.0531252	0.0522601	0.0509993	0.0476794	0.0420219	0.0361868	0.0321118	0.0305633	0.0278166	0.0228744	0.0173459	0.0180998	0.0164904	0.0147155	0.0139263	0.0131649	0.0121882	0.0115297	0.010544	0.00897544	

89	0.046	1	0	task-3:0.456	task-0:0.214	task-1:0.088	task-2:0.464	|	0.0567372	0.0565166	0.0561153	0.0555738	0.0550685	0.0544917	0.0541385	0.053877	0.0536568	0.0535216	0.0534441	0.0534167	0.0533826	0.0533622	0.0533162	0.0532345	0.0531884	0.0531747	0.0531252	0.0522601	0.0509993	0.0476794	0.0420219	0.0361868	0.0321118	0.0305633	0.0278166	0.0228744	0.0173459	0.0180998	0.0164904	0.0147155	0.0139263	0.0131649	0.0121882	0.0115297	0.010544	0.00897544	

