56	0.032	1	0	task-0:0.47	|	0.228526	0.286862	0.275531	0.211569	0.241243	0.241243	0.212104	0.207867	0.205006	0.195579	0.189772	0.184037	0.177032	0.171829	0.168694	0.166568	0.165388	0.165616	0.167307	0.169396	0.173128	0.17717	0.181752	0.187318	0.193878	0.202676	0.201593	0.202418	0.202418	0.199948	0.1992	0.19821	0.198034	0.198034	0.197953	0.197639	0.197405	0.197353	0.197135	0.197017	0.196776	0.19661	0.196365	0.196075	0.195736	0.19567	0.195523	0.195575	0.195693	0.195841	0.195912	0.196046	0.196094	0.1962	0.196257	0.196287	

58	0.015	1	0	task-0:0.47	|	0.220733	0.306906	0.306117	0.250104	0.222668	0.237209	0.237185	0.225362	0.223648	0.223646	0.222316	0.222316	0.222373	0.222374	0.222203	0.222377	0.222378	0.222242	0.222211	0.222212	0.222211	0.222213	0.222212	0.222214	0.222217	0.222219	0.22222	0.222222	0.222222	0.222222	0.222222	0.222222	0.222222	0.222222	0.222222	0.222222	0.222222	0.222222	0.222222	0.222222	0.222222	0.222222	0.222222	0.222222	0.222222	0.222222	0.222222	0.222222	0.222222	0.222222	0.222222	0.222218	0.221349	0.209876	0.209876	0.22101	0.221814	0.221329	

58	0.016	1	0	task-0:0.47	|	0.224965	0.315067	0.306933	0.249919	0.222635	0.237415	0.237339	0.225405	0.223589	0.223583	0.222293	0.222289	0.222326	0.222329	0.222169	0.222357	0.22236	0.22222	0.222184	0.222187	0.222192	0.222196	0.222196	0.222208	0.222214	0.222215	0.222218	0.22222	0.222221	0.222222	0.222222	0.222222	0.222222	0.222222	0.222222	0.222222	0.222222	0.222222	0.222222	0.222222	0.222222	0.222222	0.222222	0.222222	0.222222	0.222222	0.222222	0.222222	0.222222	0.222222	0.222222	0.222208	0.219705	0.221333	0.216415	0.219935	0.222054	0.222165	

58	0.015	1	0	task-0:0.47	|	0.224965	0.315067	0.306933	0.249919	0.222635	0.237415	0.237339	0.225405	0.223589	0.223583	0.222293	0.222289	0.222326	0.222329	0.222169	0.222357	0.22236	0.22222	0.222184	0.222187	0.222192	0.222196	0.222196	0.222208	0.222214	0.222215	0.222218	0.22222	0.222221	0.222222	0.222222	0.222222	0.222222	0.222222	0.222222	0.222222	0.222222	0.222222	0.222222	0.222222	0.222222	0.222222	0.222222	0.222222	0.222222	0.222222	0.222222	0.222222	0.222222	0.222222	0.222222	0.222208	0.219705	0.221333	0.216415	0.219935	0.222054	0.222165	

58	0.016	1	0	task-0:0.47	|	0.220733	0.306906	0.306117	0.250104	0.222668	0.237209	0.237185	0.225362	0.223648	0.223646	0.222316	0.222316	0.222373	0.222374	0.222203	0.222377	0.222378	0.222242	0.222211	0.222212	0.222211	0.222213	0.222212	0.222214	0.222217	0.222219	0.22222	0.222222	0.222222	0.222222	0.222222	0.222222	0.222222	0.222222	0.222222	0.222222	0.222222	0.222222	0.222222	0.222222	0.222222	0.222222	0.222222	0.222222	0.222222	0.222222	0.222222	0.222222	0.222222	0.222222	0.222222	0.222218	0.221349	0.209876	0.209876	0.22101	0.221814	0.221329	

