181	0.078	1	0	task-3:0.13	task-0:0.406	task-1:0.432	task-2:0.062	|	0.0536543	0.0534643	0.0532654	0.0532383	0.0531895	0.0531357	0.0531084	0.0530774	0.0530509	0.0530393	0.0530332	0.0530248	0.0530134	0.0526281	0.0520684	0.0506781	0.0484215	0.0461319	0.0449781	0.0442791	0.0431057	0.0416451	0.0405654	0.0399809	0.0389578	0.0380949	0.0367264	0.0354054	0.0346608	0.0343896	0.0336485	0.0322285	0.0310785	0.0336391	0.0296742	0.0293701	0.0287751	0.0278508	0.0270425	0.0266559	0.0262839	0.0260786	0.0256386	0.0247769	0.0232366	0.0208517	0.0280515	0.0647042	0.0171998	0.0172857	0.0170436	0.0169856	0.0168912	0.0167212	0.0164086	0.0159467	0.0180286	0.0157085	0.0156395	0.0156325	0.0156015	0.0155278	0.0153879	0.0151941	0.0148269	0.016199	0.0146921	0.0145886	0.0145551	0.0144771	0.01433	0.0141033	0.0146614	0.0139516	0.0139266	0.0139226	0.0138873	0.0138259	0.0137699	0.013658	0.0134557	0.0132591	0.0164524	0.0131501	0.013091	0.0130219	0.012902	0.0127879	0.0126064	0.0126107	0.0124953	

181	0.094	1	0	task-3:0.13	task-0:0.406	task-1:0.432	task-2:0.062	|	0.0536543	0.0534643	0.0532654	0.0532383	0.0531895	0.0531357	0.0531084	0.0530774	0.0530509	0.0530393	0.0530332	0.0530248	0.0530134	0.0526281	0.0520684	0.0506781	0.0484215	0.0461319	0.0449781	0.0442791	0.0431057	0.0416451	0.0405654	0.0399809	0.0389578	0.0380949	0.0367264	0.0354054	0.0346608	0.0343896	0.0336485	0.0322285	0.0310785	0.0336391	0.0296742	0.0293701	0.0287751	0.0278508	0.0270425	0.0266559	0.0262839	0.0260786	0.0256386	0.0247769	0.0232366	0.0208517	0.0280515	0.0647042	0.0171998	0.0172857	0.0170436	0.0169856	0.0168912	0.0167212	0.0164086	0.0159467	0.0180286	0.0157085	0.0156395	0.0156325	0.0156015	0.0155278	0.0153879	0.0151941	0.0148269	0.016199	0.0146921	0.0145886	0.0145551	0.0144771	0.01433	0.0141033	0.0146614	0.0139516	0.0139266	0.0139226	0.0138873	0.0138259	0.0137699	0.013658	0.0134557	0.0132591	0.0164524	0.0131501	0.013091	0.0130219	0.012902	0.0127879	0.0126064	0.0126107	0.0124953	

181	0.109	1	0	task-3:0.13	task-0:0.406	task-1:0.432	task-2:0.062	|	0.0536543	0.0534643	0.0532654	0.0532383	0.0531895	0.0531357	0.0531084	0.0530774	0.0530509	0.0530393	0.0530332	0.0530248	0.0530134	0.0526281	0.0520684	0.0506781	0.0484215	0.0461319	0.0449781	0.0442791	0.0431057	0.0416451	0.0405654	0.0399809	0.0389578	0.0380949	0.0367264	0.0354054	0.0346608	0.0343896	0.0336485	0.0322285	0.0310785	0.0336391	0.0296742	0.0293701	0.0287751	0.0278508	0.0270425	0.0266559	0.0262839	0.0260786	0.0256386	0.0247769	0.0232366	0.0208517	0.0280515	0.0647042	0.0171998	0.0172857	0.0170436	0.0169856	0.0168912	0.0167212	0.0164086	0.0159467	0.0180286	0.0157085	0.0156395	0.0156325	0.0156015	0.0155278	0.0153879	0.0151941	0.0148269	0.016199	0.0146921	0.0145886	0.0145551	0.0144771	0.01433	0.0141033	0.0146614	0.0139516	0.0139266	0.0139226	0.0138873	0.0138259	0.0137699	0.013658	0.0134557	0.0132591	0.0164524	0.0131501	0.013091	0.0130219	0.012902	0.0127879	0.0126064	0.0126107	0.0124953	

181	0.078	1	0	task-3:0.13	task-0:0.406	task-1:0.432	task-2:0.062	|	0.0536543	0.0534643	0.0532654	0.0532383	0.0531895	0.0531357	0.0531084	0.0530774	0.0530509	0.0530393	0.0530332	0.0530248	0.0530134	0.0526281	0.0520684	0.0506781	0.0484215	0.0461319	0.0449781	0.0442791	0.0431057	0.0416451	0.0405654	0.0399809	0.0389578	0.0380949	0.0367264	0.0354054	0.0346608	0.0343896	0.0336485	0.0322285	0.0310785	0.0336391	0.0296742	0.0293701	0.0287751	0.0278508	0.0270425	0.0266559	0.0262839	0.0260786	0.0256386	0.0247769	0.0232366	0.0208517	0.0280515	0.0647042	0.0171998	0.0172857	0.0170436	0.0169856	0.0168912	0.0167212	0.0164086	0.0159467	0.0180286	0.0157085	0.0156395	0.0156325	0.0156015	0.0155278	0.0153879	0.0151941	0.0148269	0.016199	0.0146921	0.0145886	0.0145551	0.0144771	0.01433	0.0141033	0.0146614	0.0139516	0.0139266	0.0139226	0.0138873	0.0138259	0.0137699	0.013658	0.0134557	0.0132591	0.0164524	0.0131501	0.013091	0.0130219	0.012902	0.0127879	0.0126064	0.0126107	0.0124953	

181	0.094	1	0	task-3:0.13	task-0:0.406	task-1:0.432	task-2:0.062	|	0.0536543	0.0534643	0.0532654	0.0532383	0.0531895	0.0531357	0.0531084	0.0530774	0.0530509	0.0530393	0.0530332	0.0530248	0.0530134	0.0526281	0.0520684	0.0506781	0.0484215	0.0461319	0.0449781	0.0442791	0.0431057	0.0416451	0.0405654	0.0399809	0.0389578	0.0380949	0.0367264	0.0354054	0.0346608	0.0343896	0.0336485	0.0322285	0.0310785	0.0336391	0.0296742	0.0293701	0.0287751	0.0278508	0.0270425	0.0266559	0.0262839	0.0260786	0.0256386	0.0247769	0.0232366	0.0208517	0.0280515	0.0647042	0.0171998	0.0172857	0.0170436	0.0169856	0.0168912	0.0167212	0.0164086	0.0159467	0.0180286	0.0157085	0.0156395	0.0156325	0.0156015	0.0155278	0.0153879	0.0151941	0.0148269	0.016199	0.0146921	0.0145886	0.0145551	0.0144771	0.01433	0.0141033	0.0146614	0.0139516	0.0139266	0.0139226	0.0138873	0.0138259	0.0137699	0.013658	0.0134557	0.0132591	0.0164524	0.0131501	0.013091	0.0130219	0.012902	0.0127879	0.0126064	0.0126107	0.0124953	

181	0.094	1	0	task-3:0.13	task-0:0.406	task-1:0.432	task-2:0.062	|	0.0536543	0.0534643	0.0532654	0.0532383	0.0531895	0.0531357	0.0531084	0.0530774	0.0530509	0.0530393	0.0530332	0.0530248	0.0530134	0.0526281	0.0520684	0.0506781	0.0484215	0.0461319	0.0449781	0.0442791	0.0431057	0.0416451	0.0405654	0.0399809	0.0389578	0.0380949	0.0367264	0.0354054	0.0346608	0.0343896	0.0336485	0.0322285	0.0310785	0.0336391	0.0296742	0.0293701	0.0287751	0.0278508	0.0270425	0.0266559	0.0262839	0.0260786	0.0256386	0.0247769	0.0232366	0.0208517	0.0280515	0.0647042	0.0171998	0.0172857	0.0170436	0.0169856	0.0168912	0.0167212	0.0164086	0.0159467	0.0180286	0.0157085	0.0156395	0.0156325	0.0156015	0.0155278	0.0153879	0.0151941	0.0148269	0.016199	0.0146921	0.0145886	0.0145551	0.0144771	0.01433	0.0141033	0.0146614	0.0139516	0.0139266	0.0139226	0.0138873	0.0138259	0.0137699	0.013658	0.0134557	0.0132591	0.0164524	0.0131501	0.013091	0.0130219	0.012902	0.0127879	0.0126064	0.0126107	0.0124953	

181	0.094	1	0	task-3:0.13	task-0:0.406	task-1:0.432	task-2:0.062	|	0.0536543	0.0534643	0.0532654	0.0532383	0.0531895	0.0531357	0.0531084	0.0530774	0.0530509	0.0530393	0.0530332	0.0530248	0.0530134	0.0526281	0.0520684	0.0506781	0.0484215	0.0461319	0.0449781	0.0442791	0.0431057	0.0416451	0.0405654	0.0399809	0.0389578	0.0380949	0.0367264	0.0354054	0.0346608	0.0343896	0.0336485	0.0322285	0.0310785	0.0336391	0.0296742	0.0293701	0.0287751	0.0278508	0.0270425	0.0266559	0.0262839	0.0260786	0.0256386	0.0247769	0.0232366	0.0208517	0.0280515	0.0647042	0.0171998	0.0172857	0.0170436	0.0169856	0.0168912	0.0167212	0.0164086	0.0159467	0.0180286	0.0157085	0.0156395	0.0156325	0.0156015	0.0155278	0.0153879	0.0151941	0.0148269	0.016199	0.0146921	0.0145886	0.0145551	0.0144771	0.01433	0.0141033	0.0146614	0.0139516	0.0139266	0.0139226	0.0138873	0.0138259	0.0137699	0.013658	0.0134557	0.0132591	0.0164524	0.0131501	0.013091	0.0130219	0.012902	0.0127879	0.0126064	0.0126107	0.0124953	

183	0.093	1	0	task-3:0.118	task-0:0.41	task-1:0.432	task-2:0.046	|	0.0700326	0.0641842	0.0547896	0.0544994	0.0542993	0.053995	0.053685	0.0534061	0.0534166	0.0532956	0.0532603	0.0532198	0.0531784	0.0531356	0.0530852	0.0530602	0.0530519	0.0530381	0.0530304	0.0526868	0.0521838	0.0508215	0.0482187	0.0448579	0.0433317	0.0418281	0.0405907	0.0400233	0.0390792	0.0371857	0.0349124	0.0385111	0.0338984	0.0335796	0.0330103	0.0321595	0.0306075	0.0300462	0.0308049	0.0284555	0.0282385	0.027793	0.0270326	0.026281	0.0266257	0.0258904	0.0257495	0.0255817	0.0253691	0.0251568	0.0248471	0.0243837	0.0234809	0.0223519	0.0299917	0.0219676	0.0217713	0.0216919	0.0215146	0.0212141	0.0206263	0.0203678	0.0229354	0.0196933	0.0195624	0.0194844	0.0193595	0.0191817	0.0189854	0.0189244	0.0188568	0.0187663	0.0187057	0.0185721	0.0183497	0.0179586	0.0182656	0.017792	0.0175754	0.0175455	0.0174715	0.0173105	0.0169819	0.0163418	0.0151557	0.0198977	0.0380202	0.0141835	0.0140776	0.0139281	0.0137726	0.0136375	0.0134889	0.0132383	0.0133897	0.0130991	0.0130205	0.0130058	0.0129655	0.0128791	0.0127051	0.0123737	0.011795	0.01627	0.0213236	0.0111479	0.0110056	0.0109752	0.0109166	0.0108139	

