31	0.078	16	0	task-3:0.424	task-0:0.282	task-1:0.304	task-2:0.438	|	0.054845	0.0553338	0.0947296	0.0636306	0.0925135	0.0678151	0.0597746	0.0571167	0.057381	0.0625059	0.057675	0.054866	0.0549438	0.0542616	0.0545607	0.0543918	0.0544773	0.0538303	0.0519226	0.0523852	0.0529788	0.0526818	0.049537	0.0460888	0.044865	0.0451083	0.0463717	0.0574034	0.0424889	0.0445506	0.0398842	

20	0.063	16	0	task-3:0.396	task-0:0.312	task-1:0.4	task-2:0.422	|	0.063757	0.0996337	0.0984839	0.0732621	0.0664031	0.064719	0.0556994	0.0544408	0.0541274	0.052657	0.0511663	0.0495983	0.0485927	0.0481797	0.0466828	0.0467626	0.0444072	0.0418513	0.0400745	0.0382113	

43	0.094	16	0	task-3:0.368	task-0:0.298	task-1:0.3	task-2:0.546	|	0.0959506	0.0998271	0.0995126	0.0812363	0.0707008	0.0669035	0.0555767	0.0587213	0.0595017	0.054726	0.0549657	0.0546174	0.0543057	0.0541701	0.0533546	0.0525186	0.0516438	0.0506276	0.0493357	0.0479824	0.0471311	0.0464456	0.0458544	0.0457113	0.0460088	0.045639	0.0455593	0.0456064	0.0452856	0.0450764	0.0450245	0.0449556	0.0445379	0.0442071	0.0440464	0.043937	0.0436128	0.0431169	0.0434208	0.0427381	0.041566	0.0407962	0.0399027	

43	0.109	16	0	task-3:0.368	task-0:0.298	task-1:0.3	task-2:0.546	|	0.0959506	0.0998271	0.0995126	0.0812363	0.0707008	0.0669035	0.0555767	0.0587213	0.0595017	0.054726	0.0549657	0.0546174	0.0543057	0.0541701	0.0533546	0.0525186	0.0516438	0.0506276	0.0493357	0.0479824	0.0471311	0.0464456	0.0458544	0.0457113	0.0460088	0.045639	0.0455593	0.0456064	0.0452856	0.0450764	0.0450245	0.0449556	0.0445379	0.0442071	0.0440464	0.043937	0.0436128	0.0431169	0.0434208	0.0427381	0.041566	0.0407962	0.0399027	

20	0.047	16	0	task-3:0.396	task-0:0.312	task-1:0.4	task-2:0.422	|	0.063757	0.0996337	0.0984839	0.0732621	0.0664031	0.064719	0.0556994	0.0544408	0.0541274	0.052657	0.0511663	0.0495983	0.0485927	0.0481797	0.0466828	0.0467626	0.0444072	0.0418513	0.0400745	0.0382113	

43	0.094	16	0	task-3:0.368	task-0:0.298	task-1:0.3	task-2:0.546	|	0.0959506	0.0998271	0.0995126	0.0812363	0.0707008	0.0669035	0.0555767	0.0587213	0.0595017	0.054726	0.0549657	0.0546174	0.0543057	0.0541701	0.0533546	0.0525186	0.0516438	0.0506276	0.0493357	0.0479824	0.0471311	0.0464456	0.0458544	0.0457113	0.0460088	0.045639	0.0455593	0.0456064	0.0452856	0.0450764	0.0450245	0.0449556	0.0445379	0.0442071	0.0440464	0.043937	0.0436128	0.0431169	0.0434208	0.0427381	0.041566	0.0407962	0.0399027	

20	0.047	16	0	task-3:0.396	task-0:0.312	task-1:0.4	task-2:0.422	|	0.063757	0.0996337	0.0984839	0.0732621	0.0664031	0.064719	0.0556994	0.0544408	0.0541274	0.052657	0.0511663	0.0495983	0.0485927	0.0481797	0.0466828	0.0467626	0.0444072	0.0418513	0.0400745	0.0382113	

