152	0.081	1	0	task-0:0.12	|	0.259068	0.247286	0.24572	0.24546	0.244221	0.243166	0.241569	0.240952	0.240027	0.239679	0.239127	0.238494	0.238698	0.238251	0.23794	0.237861	0.237822	0.237551	0.237505	0.182697	0.170945	0.152927	0.133533	0.129653	0.129776	0.125939	0.121624	0.119973	0.117285	0.109236	0.0985479	0.0956162	0.0856651	0.0804802	0.0744776	0.0724768	0.0668777	0.0613999	0.0505379	0.0355217	0.0516403	0.114038	0.0401482	0.130636	0.020227	0.018341	0.0176328	0.0171134	0.0164435	0.015053	0.0137256	0.0122	0.0129514	0.0117438	0.0112403	0.0108976	0.0106026	0.0104405	0.00984338	0.00934046	0.00862818	0.00762405	0.00843035	0.00692753	0.00675774	0.00657183	0.00610478	0.00540115	0.00517137	0.0055754	0.00439874	0.00430851	0.00412365	0.00376394	0.00310405	0.00211875	

196	0.02	1	0	task-0:0.2	|	0.25125	0.248557	0.245577	0.241392	0.237334	0.257541	0.237284	0.237165	0.237108	0.236943	0.236616	0.236497	0.236245	0.236128	0.236104	0.236006	0.235756	0.235822	0.235532	0.182854	0.172897	0.146962	0.13974	0.126942	0.115369	0.13404	0.114512	0.113523	0.110499	0.101738	0.0756905	0.0507165	0.230147	0.0603187	0.28024	0.0977779	0.21741	0.0328245	0.21054	0.0678036	0.238668	0.10559	0.2585	0.0949933	0.205853	0.0277683	0.207196	0.0712726	0.236317	0.134905	0.23898	0.084129	0.224463	0.108786	0.227429	0.0863326	0.218744	0.0860713	0.20681	0.0859492	0.217108	0.0795301	0.195048	0.0845877	0.216313	0.0771027	0.183853	0.0833047	0.215031	0.0712033	0.175833	0.0829505	0.213343	0.0622644	0.172358	0.0833539	0.212689	0.0571416	0.170122	0.0840931	0.212953	0.0553945	0.1679	0.085261	0.213278	0.0533181	0.167024	0.0865056	0.21429	0.0542814	0.165987	0.0880063	0.215095	0.0541882	0.166607	0.0892244	0.216549	0.0586785	0.166162	0.090165	0.217611	0.062696	0.165834	0.0902783	0.21871	0.070122	0.162297	0.0888421	0.219437	0.0789716	0.153409	0.0858045	0.219235	0.0822168	0.1437	0.0847605	0.216059	0.0616127	0.147971	0.0915703	0.204899	0.0132477	0.106729	0.00602803	0.018537	0.00142277	

196	0.084	1	0	task-0:0.2	|	0.25125	0.248557	0.245577	0.241392	0.237334	0.257541	0.237284	0.237165	0.237108	0.236943	0.236616	0.236497	0.236245	0.236128	0.236104	0.236006	0.235756	0.235822	0.235532	0.182854	0.172897	0.146962	0.13974	0.126942	0.115369	0.13404	0.114512	0.113523	0.110499	0.101738	0.0756905	0.0507165	0.230147	0.0603187	0.28024	0.0977779	0.21741	0.0328245	0.21054	0.0678036	0.238668	0.10559	0.2585	0.0949933	0.205853	0.0277683	0.207196	0.0712726	0.236317	0.134905	0.23898	0.084129	0.224463	0.108786	0.227429	0.0863326	0.218744	0.0860713	0.20681	0.0859492	0.217108	0.0795301	0.195048	0.0845877	0.216313	0.0771027	0.183853	0.0833047	0.215031	0.0712033	0.175833	0.0829505	0.213343	0.0622644	0.172358	0.0833539	0.212689	0.0571416	0.170122	0.0840931	0.212953	0.0553945	0.1679	0.085261	0.213278	0.0533181	0.167024	0.0865056	0.21429	0.0542814	0.165987	0.0880063	0.215095	0.0541882	0.166607	0.0892244	0.216549	0.0586785	0.166162	0.090165	0.217611	0.062696	0.165834	0.0902783	0.21871	0.070122	0.162297	0.0888421	0.219437	0.0789716	0.153409	0.0858045	0.219235	0.0822168	0.1437	0.0847605	0.216059	0.0616127	0.147971	0.0915703	0.204899	0.0132477	0.106729	0.00602803	0.018537	0.00142277	

112	0.086	1	0	task-0:0.132	|	0.27961	0.24353	0.243946	0.24137	0.241059	0.240266	0.239724	0.239029	0.23846	0.238158	0.238082	0.237864	0.23749	0.237353	0.237165	0.236994	0.236905	0.236752	0.236426	0.236826	0.236313	0.194142	0.172456	0.146861	0.126764	0.114708	0.112264	0.108247	0.0957456	0.0648392	0.0815506	0.0561257	0.0454982	0.0413382	0.0399558	0.0358949	0.0275748	0.0162951	0.0130098	0.0427293	0.00943488	0.00907318	0.00839619	0.00726587	0.00610464	0.00438513	0.00373734	0.00343508	0.00285569	0.00279234	0.00269506	0.00243007	

112	0.013	1	0	task-0:0.132	|	0.27961	0.24353	0.243946	0.24137	0.241059	0.240266	0.239724	0.239029	0.23846	0.238158	0.238082	0.237864	0.23749	0.237353	0.237165	0.236994	0.236905	0.236752	0.236426	0.236826	0.236313	0.194142	0.172456	0.146861	0.126764	0.114708	0.112264	0.108247	0.0957456	0.0648392	0.0815506	0.0561257	0.0454982	0.0413382	0.0399558	0.0358949	0.0275748	0.0162951	0.0130098	0.0427293	0.00943488	0.00907318	0.00839619	0.00726587	0.00610464	0.00438513	0.00373734	0.00343508	0.00285569	0.00279234	0.00269506	0.00243007	

112	0.012	1	0	task-0:0.132	|	0.27961	0.24353	0.243946	0.24137	0.241059	0.240266	0.239724	0.239029	0.23846	0.238158	0.238082	0.237864	0.23749	0.237353	0.237165	0.236994	0.236905	0.236752	0.236426	0.236826	0.236313	0.194142	0.172456	0.146861	0.126764	0.114708	0.112264	0.108247	0.0957456	0.0648392	0.0815506	0.0561257	0.0454982	0.0413382	0.0399558	0.0358949	0.0275748	0.0162951	0.0130098	0.0427293	0.00943488	0.00907318	0.00839619	0.00726587	0.00610464	0.00438513	0.00373734	0.00343508	0.00285569	0.00279234	0.00269506	0.00243007	

