61	0.031	1	0	task-0:0.47	|	0.232272	0.27413	0.260106	0.211772	0.233739	0.225967	0.201503	0.209488	0.205366	0.196571	0.194279	0.191142	0.188243	0.184951	0.180411	0.17537	0.170179	0.164368	0.158373	0.154568	0.151875	0.152067	0.154555	0.155917	0.157589	0.160477	0.164987	0.171245	0.175688	0.176415	0.18028	0.181803	0.185084	0.18894	0.193375	0.196693	0.197133	0.197832	0.197832	0.196983	0.196185	0.195795	0.194997	0.194535	0.193809	0.192952	0.192536	0.191792	0.191412	0.190749	0.18996	0.189559	0.189298	0.189164	0.189098	0.188809	0.188612	0.188355	0.188237	0.188082	0.187923	

53	0.016	1	0	task-0:0.47	|	0.306349	0.222959	0.222933	0.229696	0.229633	0.222535	0.223124	0.22266	0.220824	0.222175	0.221831	0.219694	0.217455	0.216353	0.216336	0.21721	0.216766	0.215571	0.215459	0.215943	0.216333	0.216322	0.216147	0.216035	0.21641	0.21711	0.217842	0.218657	0.219537	0.220385	0.221103	0.22163	0.221957	0.222123	0.22219	0.222209	0.222222	0.222224	0.222224	0.222223	0.222222	0.222222	0.222222	0.222222	0.222222	0.222222	0.222222	0.222222	0.222222	0.222222	0.222222	0.222222	0.222222	

61	0.015	1	0	task-0:0.47	|	0.227774	0.281822	0.276695	0.218825	0.239079	0.239079	0.212615	0.216005	0.212945	0.206091	0.206458	0.203381	0.198408	0.195376	0.191519	0.186428	0.181301	0.172706	0.16504	0.160506	0.157304	0.155276	0.154637	0.1554	0.157542	0.159229	0.160721	0.16303	0.165974	0.169637	0.174414	0.181148	0.185717	0.18602	0.190015	0.190015	0.186471	0.186245	0.186245	0.185871	0.18672	0.18672	0.186105	0.185421	0.185255	0.185446	0.18529	0.185085	0.184762	0.184375	0.183916	0.183365	0.183129	0.18267	0.182374	0.182178	0.181967	0.181789	0.181631	0.181441	0.181314	

55	0.016	1	0	task-0:0.47	|	0.223387	0.280629	0.272539	0.216581	0.212566	0.207115	0.199048	0.19701	0.187608	0.180628	0.175057	0.169084	0.164229	0.160872	0.160409	0.163395	0.163951	0.164436	0.166543	0.169837	0.173466	0.172648	0.175145	0.178575	0.180172	0.183417	0.187212	0.1877	0.188986	0.189538	0.190094	0.191153	0.191526	0.191879	0.192071	0.192257	0.192356	0.192391	0.1924	0.192427	0.192462	0.192506	0.192562	0.192635	0.192836	0.19304	0.193217	0.193239	0.193418	0.193588	0.193639	0.193751	0.193895	0.193966	0.194005	

57	0.015	1	0	task-0:0.47	|	0.425381	0.233013	0.249651	0.244212	0.222734	0.242234	0.242054	0.224379	0.223583	0.223394	0.220815	0.223049	0.22146	0.217466	0.215444	0.213941	0.212347	0.21102	0.208948	0.206628	0.205381	0.204883	0.204671	0.204928	0.205315	0.206089	0.206977	0.207782	0.208426	0.208868	0.209187	0.209494	0.209948	0.210728	0.212031	0.214128	0.216154	0.218144	0.219966	0.221307	0.222055	0.222299	0.222331	0.222283	0.22222	0.222186	0.222229	0.22225	0.222228	0.222226	0.222226	0.222222	0.222222	0.222223	0.222223	0.222222	0.222222	

