78	0	1	0	task-0:0.28	|	0.220345	0.21859	0.217142	0.21532	0.213725	0.21421	0.211882	0.210937	0.210648	0.209772	0.2096	0.209134	0.209079	0.208464	0.208203	0.207812	0.207652	0.206949	0.205837	0.204182	0.208986	0.203687	0.203453	0.203118	0.202345	0.201966	0.202673	0.201253	0.201103	0.200788	0.200431	0.199884	0.200795	0.199728	0.199548	0.199329	0.19897	0.198777	0.198939	0.198416	0.174962	0.168802	0.153849	0.129188	0.0990805	0.0675276	0.0833161	0.0534107	0.0487897	0.0396684	0.0278029	

78	0	1	0	task-0:0.28	|	0.220345	0.21859	0.217142	0.21532	0.213725	0.21421	0.211882	0.210937	0.210648	0.209772	0.2096	0.209134	0.209079	0.208464	0.208203	0.207812	0.207652	0.206949	0.205837	0.204182	0.208986	0.203687	0.203453	0.203118	0.202345	0.201966	0.202673	0.201253	0.201103	0.200788	0.200431	0.199884	0.200795	0.199728	0.199548	0.199329	0.19897	0.198777	0.198939	0.198416	0.174962	0.168802	0.153849	0.129188	0.0990805	0.0675276	0.0833161	0.0534107	0.0487897	0.0396684	0.0278029	

78	0.046	1	0	task-0:0.28	|	0.220345	0.21859	0.217142	0.21532	0.213725	0.21421	0.211882	0.210937	0.210648	0.209772	0.2096	0.209134	0.209079	0.208464	0.208203	0.207812	0.207652	0.206949	0.205837	0.204182	0.208986	0.203687	0.203453	0.203118	0.202345	0.201966	0.202673	0.201253	0.201103	0.200788	0.200431	0.199884	0.200795	0.199728	0.199548	0.199329	0.19897	0.198777	0.198939	0.198416	0.174962	0.168802	0.153849	0.129188	0.0990805	0.0675276	0.0833161	0.0534107	0.0487897	0.0396684	0.0278029	

78	0	1	0	task-0:0.28	|	0.220345	0.21859	0.217142	0.21532	0.213725	0.21421	0.211882	0.210937	0.210648	0.209772	0.2096	0.209134	0.209079	0.208464	0.208203	0.207812	0.207652	0.206949	0.205837	0.204182	0.208986	0.203687	0.203453	0.203118	0.202345	0.201966	0.202673	0.201253	0.201103	0.200788	0.200431	0.199884	0.200795	0.199728	0.199548	0.199329	0.19897	0.198777	0.198939	0.198416	0.174962	0.168802	0.153849	0.129188	0.0990805	0.0675276	0.0833161	0.0534107	0.0487897	0.0396684	0.0278029	

78	0	1	0	task-0:0.28	|	0.220345	0.21859	0.217142	0.21532	0.213725	0.21421	0.211882	0.210937	0.210648	0.209772	0.2096	0.209134	0.209079	0.208464	0.208203	0.207812	0.207652	0.206949	0.205837	0.204182	0.208986	0.203687	0.203453	0.203118	0.202345	0.201966	0.202673	0.201253	0.201103	0.200788	0.200431	0.199884	0.200795	0.199728	0.199548	0.199329	0.19897	0.198777	0.198939	0.198416	0.174962	0.168802	0.153849	0.129188	0.0990805	0.0675276	0.0833161	0.0534107	0.0487897	0.0396684	0.0278029	

78	0.016	1	0	task-0:0.28	|	0.220345	0.21859	0.217142	0.21532	0.213725	0.21421	0.211882	0.210937	0.210648	0.209772	0.2096	0.209134	0.209079	0.208464	0.208203	0.207812	0.207652	0.206949	0.205837	0.204182	0.208986	0.203687	0.203453	0.203118	0.202345	0.201966	0.202673	0.201253	0.201103	0.200788	0.200431	0.199884	0.200795	0.199728	0.199548	0.199329	0.19897	0.198777	0.198939	0.198416	0.174962	0.168802	0.153849	0.129188	0.0990805	0.0675276	0.0833161	0.0534107	0.0487897	0.0396684	0.0278029	

78	0	1	0	task-0:0.28	|	0.220345	0.21859	0.217142	0.21532	0.213725	0.21421	0.211882	0.210937	0.210648	0.209772	0.2096	0.209134	0.209079	0.208464	0.208203	0.207812	0.207652	0.206949	0.205837	0.204182	0.208986	0.203687	0.203453	0.203118	0.202345	0.201966	0.202673	0.201253	0.201103	0.200788	0.200431	0.199884	0.200795	0.199728	0.199548	0.199329	0.19897	0.198777	0.198939	0.198416	0.174962	0.168802	0.153849	0.129188	0.0990805	0.0675276	0.0833161	0.0534107	0.0487897	0.0396684	0.0278029	

78	0.031	1	0	task-0:0.28	|	0.220345	0.21859	0.217142	0.21532	0.213725	0.21421	0.211882	0.210937	0.210648	0.209772	0.2096	0.209134	0.209079	0.208464	0.208203	0.207812	0.207652	0.206949	0.205837	0.204182	0.208986	0.203687	0.203453	0.203118	0.202345	0.201966	0.202673	0.201253	0.201103	0.200788	0.200431	0.199884	0.200795	0.199728	0.199548	0.199329	0.19897	0.198777	0.198939	0.198416	0.174962	0.168802	0.153849	0.129188	0.0990805	0.0675276	0.0833161	0.0534107	0.0487897	0.0396684	0.0278029	

78	0	1	0	task-0:0.28	|	0.220345	0.21859	0.217142	0.21532	0.213725	0.21421	0.211882	0.210937	0.210648	0.209772	0.2096	0.209134	0.209079	0.208464	0.208203	0.207812	0.207652	0.206949	0.205837	0.204182	0.208986	0.203687	0.203453	0.203118	0.202345	0.201966	0.202673	0.201253	0.201103	0.200788	0.200431	0.199884	0.200795	0.199728	0.199548	0.199329	0.19897	0.198777	0.198939	0.198416	0.174962	0.168802	0.153849	0.129188	0.0990805	0.0675276	0.0833161	0.0534107	0.0487897	0.0396684	0.0278029	

78	0.016	1	0	task-0:0.28	|	0.220345	0.21859	0.217142	0.21532	0.213725	0.21421	0.211882	0.210937	0.210648	0.209772	0.2096	0.209134	0.209079	0.208464	0.208203	0.207812	0.207652	0.206949	0.205837	0.204182	0.208986	0.203687	0.203453	0.203118	0.202345	0.201966	0.202673	0.201253	0.201103	0.200788	0.200431	0.199884	0.200795	0.199728	0.199548	0.199329	0.19897	0.198777	0.198939	0.198416	0.174962	0.168802	0.153849	0.129188	0.0990805	0.0675276	0.0833161	0.0534107	0.0487897	0.0396684	0.0278029	

78	0	1	0	task-0:0.28	|	0.220345	0.21859	0.217142	0.21532	0.213725	0.21421	0.211882	0.210937	0.210648	0.209772	0.2096	0.209134	0.209079	0.208464	0.208203	0.207812	0.207652	0.206949	0.205837	0.204182	0.208986	0.203687	0.203453	0.203118	0.202345	0.201966	0.202673	0.201253	0.201103	0.200788	0.200431	0.199884	0.200795	0.199728	0.199548	0.199329	0.19897	0.198777	0.198939	0.198416	0.174962	0.168802	0.153849	0.129188	0.0990805	0.0675276	0.0833161	0.0534107	0.0487897	0.0396684	0.0278029	

78	0	1	0	task-0:0.28	|	0.220345	0.21859	0.217142	0.21532	0.213725	0.21421	0.211882	0.210937	0.210648	0.209772	0.2096	0.209134	0.209079	0.208464	0.208203	0.207812	0.207652	0.206949	0.205837	0.204182	0.208986	0.203687	0.203453	0.203118	0.202345	0.201966	0.202673	0.201253	0.201103	0.200788	0.200431	0.199884	0.200795	0.199728	0.199548	0.199329	0.19897	0.198777	0.198939	0.198416	0.174962	0.168802	0.153849	0.129188	0.0990805	0.0675276	0.0833161	0.0534107	0.0487897	0.0396684	0.0278029	

78	0	1	0	task-0:0.28	|	0.220345	0.21859	0.217142	0.21532	0.213725	0.21421	0.211882	0.210937	0.210648	0.209772	0.2096	0.209134	0.209079	0.208464	0.208203	0.207812	0.207652	0.206949	0.205837	0.204182	0.208986	0.203687	0.203453	0.203118	0.202345	0.201966	0.202673	0.201253	0.201103	0.200788	0.200431	0.199884	0.200795	0.199728	0.199548	0.199329	0.19897	0.198777	0.198939	0.198416	0.174962	0.168802	0.153849	0.129188	0.0990805	0.0675276	0.0833161	0.0534107	0.0487897	0.0396684	0.0278029	

78	0	1	0	task-0:0.28	|	0.220345	0.21859	0.217142	0.21532	0.213725	0.21421	0.211882	0.210937	0.210648	0.209772	0.2096	0.209134	0.209079	0.208464	0.208203	0.207812	0.207652	0.206949	0.205837	0.204182	0.208986	0.203687	0.203453	0.203118	0.202345	0.201966	0.202673	0.201253	0.201103	0.200788	0.200431	0.199884	0.200795	0.199728	0.199548	0.199329	0.19897	0.198777	0.198939	0.198416	0.174962	0.168802	0.153849	0.129188	0.0990805	0.0675276	0.0833161	0.0534107	0.0487897	0.0396684	0.0278029	

113	0.047	1	0	task-0:0.29	|	0.408162	0.237803	0.233718	0.225533	0.220769	0.218071	0.215602	0.214943	0.214544	0.213499	0.212946	0.211829	0.210656	0.210428	0.209069	0.208725	0.208136	0.207498	0.207217	0.206874	0.206302	0.205729	0.204408	0.20265	0.213604	0.202116	0.201751	0.201689	0.201405	0.200977	0.200093	0.200166	0.204596	0.19883	0.198731	0.198443	0.197805	0.196651	0.200072	0.212425	0.197185	0.19704	0.196549	0.195971	0.195844	0.195667	0.195594	0.195431	0.19515	0.195596	0.195125	0.19511	0.195092	0.171186	0.16358	0.14972	0.137277	0.129587	0.112305	0.0846065	0.0554789	0.0435322	0.0367082	0.0320616	0.0244388	

78	0.015	1	0	task-0:0.28	|	0.220345	0.21859	0.217142	0.21532	0.213725	0.21421	0.211882	0.210937	0.210648	0.209772	0.2096	0.209134	0.209079	0.208464	0.208203	0.207812	0.207652	0.206949	0.205837	0.204182	0.208986	0.203687	0.203453	0.203118	0.202345	0.201966	0.202673	0.201253	0.201103	0.200788	0.200431	0.199884	0.200795	0.199728	0.199548	0.199329	0.19897	0.198777	0.198939	0.198416	0.174962	0.168802	0.153849	0.129188	0.0990805	0.0675276	0.0833161	0.0534107	0.0487897	0.0396684	0.0278029	

78	0	1	0	task-0:0.28	|	0.220345	0.21859	0.217142	0.21532	0.213725	0.21421	0.211882	0.210937	0.210648	0.209772	0.2096	0.209134	0.209079	0.208464	0.208203	0.207812	0.207652	0.206949	0.205837	0.204182	0.208986	0.203687	0.203453	0.203118	0.202345	0.201966	0.202673	0.201253	0.201103	0.200788	0.200431	0.199884	0.200795	0.199728	0.199548	0.199329	0.19897	0.198777	0.198939	0.198416	0.174962	0.168802	0.153849	0.129188	0.0990805	0.0675276	0.0833161	0.0534107	0.0487897	0.0396684	0.0278029	

78	0.016	1	0	task-0:0.28	|	0.220345	0.21859	0.217142	0.21532	0.213725	0.21421	0.211882	0.210937	0.210648	0.209772	0.2096	0.209134	0.209079	0.208464	0.208203	0.207812	0.207652	0.206949	0.205837	0.204182	0.208986	0.203687	0.203453	0.203118	0.202345	0.201966	0.202673	0.201253	0.201103	0.200788	0.200431	0.199884	0.200795	0.199728	0.199548	0.199329	0.19897	0.198777	0.198939	0.198416	0.174962	0.168802	0.153849	0.129188	0.0990805	0.0675276	0.0833161	0.0534107	0.0487897	0.0396684	0.0278029	

