54	0.031	1	0	task-0:0.47	|	0.272136	0.224519	0.223731	0.227822	0.227824	0.222468	0.224511	0.224487	0.222454	0.22272	0.22272	0.222184	0.222591	0.222593	0.222256	0.222213	0.222218	0.222201	0.222207	0.22221	0.222215	0.222217	0.22222	0.222221	0.222222	0.222222	0.222222	0.222222	0.222222	0.222222	0.222222	0.222222	0.222222	0.222222	0.222222	0.222222	0.222222	0.222215	0.222083	0.216935	0.220176	0.22216	0.222201	0.222198	0.222186	0.222149	0.222014	0.221351	0.217096	0.220344	0.222087	0.22218	0.222194	0.2222	
60	0.016	1	0	task-0:0.47	|	0.31615	0.223726	0.222721	0.230907	0.230901	0.223339	0.223318	0.223318	0.222223	0.223855	0.223855	0.222606	0.222244	0.222244	0.222276	0.222276	0.222224	0.222256	0.222255	0.222204	0.221802	0.214282	0.209761	0.209513	0.214969	0.21894	0.218009	0.215728	0.21163	0.216527	0.216935	0.216511	0.214943	0.211884	0.217087	0.218009	0.218246	0.217746	0.216127	0.21981	0.220485	0.220778	0.220778	0.220421	0.219364	0.216553	0.220069	0.220361	0.220296	0.219809	0.218461	0.215123	0.219551	0.22002	0.220056	0.219581	0.218142	0.214552	0.219351	0.219844	

84	0.031	1	0	task-0:0.47	|	0.230167	0.243138	0.242446	0.22499	0.228999	0.228992	0.222359	0.226391	0.226391	0.222993	0.222618	0.222618	0.222241	0.222241	0.222281	0.222281	0.222225	0.222253	0.222253	0.222226	0.222228	0.222228	0.222222	0.222228	0.222228	0.22221	0.22158	0.205742	0.201463	0.196668	0.188826	0.206381	0.206584	0.199199	0.18928	0.191544	0.200112	0.20347	0.204757	0.205851	0.207545	0.208186	0.208316	0.208341	0.208343	0.208334	0.208337	0.209171	0.217101	0.219681	0.220337	0.22102	0.221432	0.221484	0.221249	0.220652	0.219315	0.216117	0.219803	0.220034	0.219886	0.219163	0.217279	0.220455	0.220925	0.221098	0.221042	0.220678	0.219644	0.216766	0.220302	0.22058	0.220517	0.219999	0.218494	0.221008	0.221336	0.221454	0.221401	0.221098	0.220179	0.217315	0.220578	0.220752	

60	0.015	1	0	task-0:0.47	|	0.31615	0.223726	0.222721	0.230907	0.230901	0.223339	0.223318	0.223318	0.222223	0.223855	0.223855	0.222606	0.222244	0.222244	0.222276	0.222276	0.222224	0.222256	0.222255	0.222204	0.221802	0.214282	0.209761	0.209513	0.214969	0.21894	0.218009	0.215728	0.21163	0.216527	0.216935	0.216511	0.214943	0.211884	0.217087	0.218009	0.218246	0.217746	0.216127	0.21981	0.220485	0.220778	0.220778	0.220421	0.219364	0.216553	0.220069	0.220361	0.220296	0.219809	0.218461	0.215123	0.219551	0.22002	0.220056	0.219581	0.218142	0.214552	0.219351	0.219844	

84	0.016	1	0	task-0:0.47	|	0.230167	0.243138	0.242446	0.22499	0.228999	0.228992	0.222359	0.226391	0.226391	0.222993	0.222618	0.222618	0.222241	0.222241	0.222281	0.222281	0.222225	0.222253	0.222253	0.222226	0.222228	0.222228	0.222222	0.222228	0.222228	0.22221	0.22158	0.205742	0.201463	0.196668	0.188826	0.206381	0.206584	0.199199	0.18928	0.191544	0.200112	0.20347	0.204757	0.205851	0.207545	0.208186	0.208316	0.208341	0.208343	0.208334	0.208337	0.209171	0.217101	0.219681	0.220337	0.22102	0.221432	0.221484	0.221249	0.220652	0.219315	0.216117	0.219803	0.220034	0.219886	0.219163	0.217279	0.220455	0.220925	0.221098	0.221042	0.220678	0.219644	0.216766	0.220302	0.22058	0.220517	0.219999	0.218494	0.221008	0.221336	0.221454	0.221401	0.221098	0.220179	0.217315	0.220578	0.220752	

63	0.031	1	0	task-0:0.47	|	0.223035	0.30394	0.298767	0.2454	0.222271	0.239647	0.239621	0.226781	0.222761	0.222752	0.222702	0.222695	0.222139	0.222984	0.222974	0.222318	0.22211	0.2221	0.222112	0.222101	0.222061	0.222068	0.222068	0.22206	0.222073	0.222091	0.222111	0.222139	0.222164	0.222177	0.222182	0.222179	0.222163	0.222117	0.221962	0.221307	0.217716	0.220604	0.220124	0.218762	0.221064	0.221376	0.221493	0.221457	0.221205	0.220448	0.218104	0.220854	0.221029	0.220944	0.220478	0.219104	0.22123	0.22148	0.221558	0.221484	0.22116	0.220172	0.216985	0.220452	0.220581	0.220334	0.219431	

