51	0.063	4	0	task-3:0.198	task-0:0.034	task-1:0.052	task-2:0.188	|	0.0124318	6.65057e-006	1.23323e-009	1.28351e-012	6.67253e-014	0	0	0	0	0	0	0	0	0	0	0	0	0	4.21535e-015	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

52	0.078	4	0	task-3:0.198	task-0:0.034	task-1:0.052	task-2:0.188	|	0.0266802	0.000795966	1.38263e-005	1.51632e-007	2.67478e-010	4.86501e-014	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

52	0.078	4	0	task-3:0.198	task-0:0.034	task-1:0.052	task-2:0.188	|	0.0405886	0.00239457	4.39804e-005	3.78837e-007	4.29456e-010	4.86945e-014	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.90725e-015	0	

52	0.062	4	0	task-3:0.198	task-0:0.034	task-1:0.052	task-2:0.188	|	0.0306882	0.000972105	1.29444e-005	2.02791e-007	1.01644e-008	2.16985e-011	0	0	2.10881e-015	0	0	0	0	0	0	0	0	0	0	0	8.79592e-015	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

51	0.062	4	0	task-3:0.198	task-0:0.034	task-1:0.052	task-2:0.188	|	0.00964356	5.06899e-006	1.93918e-009	8.31246e-013	0	0	1.28553e-014	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

52	0.078	4	0	task-3:0.198	task-0:0.034	task-1:0.052	task-2:0.188	|	0.0666553	0.0123593	0.000165238	5.39645e-006	7.96956e-009	1.04116e-013	0	0	0	0	0	0	0	0	0	0	0	0	0	1.92266e-015	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

51	0.062	4	0	task-3:0.198	task-0:0.034	task-1:0.052	task-2:0.188	|	0.0258873	1.75213e-005	5.85316e-009	3.99865e-011	3.90922e-015	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.9987e-015	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.10732e-015	0	0	0	0	0	0	0	

52	0.062	4	0	task-3:0.198	task-0:0.034	task-1:0.052	task-2:0.188	|	0.00847907	0.00274584	3.04922e-005	5.79548e-006	5.82386e-007	3.236e-009	7.83185e-013	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

51	0.078	4	0	task-3:0.198	task-0:0.034	task-1:0.052	task-2:0.188	|	0.0415021	3.66263e-005	7.94219e-009	1.13523e-011	4.91484e-015	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.13732e-015	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

52	0.078	4	0	task-3:0.198	task-0:0.034	task-1:0.052	task-2:0.188	|	0.0201778	0.000940734	2.07977e-005	1.94558e-007	2.64719e-010	3.07322e-014	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

51	0.063	4	0	task-3:0.198	task-0:0.034	task-1:0.052	task-2:0.188	|	0.0021237	0.000305902	3.2357e-006	7.0259e-007	6.42522e-008	9.99274e-010	5.58299e-012	1.14678e-014	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

51	0.078	4	0	task-3:0.198	task-0:0.034	task-1:0.052	task-2:0.188	|	0.0176316	1.70876e-005	6.02283e-009	2.76645e-010	8.29552e-010	7.96441e-013	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.36115e-015	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

51	0.078	4	0	task-3:0.802	task-0:0.034	task-1:0.052	task-2:0.188	|	0.0111877	0.000201641	3.90765e-006	1.34408e-007	8.78415e-009	2.80901e-011	2.89702e-015	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

52	0.062	4	0	task-3:0.198	task-0:0.034	task-1:0.052	task-2:0.188	|	0.0240515	0.000776677	6.76972e-006	6.68854e-008	1.71451e-009	2.44769e-012	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.53063e-015	0	0	0	0	

51	0.062	4	0	task-3:0.198	task-0:0.034	task-1:0.052	task-2:0.188	|	0.0105439	3.66488e-005	7.17946e-008	1.67382e-010	3.38046e-014	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

51	0.078	4	0	task-3:0.198	task-0:0.034	task-1:0.052	task-2:0.188	|	0.0115879	1.34811e-005	3.43529e-008	2.45357e-010	7.46657e-014	0	0	0	0	0	0	0	0	6.68701e-015	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.44084e-015	

