40	0.094	16	0	task-3:0.47	task-0:0.378	task-1:0.25	task-2:0.52	|	0.0673154	0.0999527	0.0998674	0.0922318	0.0571846	0.0611638	0.054156	0.0543424	0.0562367	0.0575566	0.0564979	0.0548637	0.0547921	0.0549118	0.0546122	0.0548414	0.054977	0.0553204	0.0577051	0.0581896	0.0572017	0.074434	0.0582175	0.0534052	0.0537142	0.0517808	0.0482639	0.0518895	0.0492989	0.0451876	0.0452673	0.0440627	0.0429408	0.0430149	0.0424006	0.0417355	0.0410328	0.0405801	0.0403546	0.0398241	
45	0.093	16	0	task-3:0.422	task-0:0.362	task-1:0.372	task-2:0.428	|	0.0627362	0.0999162	0.0996171	0.0732705	0.0889823	0.0885293	0.0572362	0.0669808	0.0659339	0.0558894	0.056245	0.056453	0.0543348	0.0558712	0.055273	0.0541016	0.0544963	0.054484	0.0540932	0.0541725	0.0541233	0.0540049	0.0540283	0.0540799	0.0543124	0.0552439	0.0546188	0.0534762	0.0525215	0.0517609	0.0512576	0.0505409	0.0499845	0.0496679	0.0514619	0.0482195	0.0496825	0.0490466	0.0463706	0.0454555	0.0431635	0.0419664	0.041432	0.0400841	0.0394447	

33	0.063	16	0	task-3:0.484	task-0:0.384	task-1:0.254	task-2:0.474	|	0.0700663	0.0998837	0.0992931	0.0727702	0.0748899	0.0683905	0.0560158	0.0548474	0.0548242	0.0546105	0.0546781	0.0544121	0.0546495	0.0547026	0.0548192	0.0547789	0.0580195	0.0581635	0.0661635	0.0613433	0.0508194	0.0515503	0.0552201	0.0547131	0.0548933	0.0538487	0.0488414	0.0483534	0.0519997	0.0498722	0.043538	0.0409334	0.0386967	

45	0.094	16	0	task-3:0.422	task-0:0.362	task-1:0.372	task-2:0.428	|	0.0627362	0.0999162	0.0996171	0.0732705	0.0889823	0.0885293	0.0572362	0.0669808	0.0659339	0.0558894	0.056245	0.056453	0.0543348	0.0558712	0.055273	0.0541016	0.0544963	0.054484	0.0540932	0.0541725	0.0541233	0.0540049	0.0540283	0.0540799	0.0543124	0.0552439	0.0546188	0.0534762	0.0525215	0.0517609	0.0512576	0.0505409	0.0499845	0.0496679	0.0514619	0.0482195	0.0496825	0.0490466	0.0463706	0.0454555	0.0431635	0.0419664	0.041432	0.0400841	0.0394447	

31	0.062	16	0	task-3:0.404	task-0:0.314	task-1:0.378	task-2:0.392	|	0.078311	0.0997208	0.0991668	0.0807589	0.0627676	0.0601248	0.0552599	0.0548852	0.0546868	0.0550608	0.0551723	0.05487	0.0545302	0.0544492	0.0538964	0.0514648	0.0641726	0.0498688	0.0464307	0.0464345	0.0461569	0.0498934	0.0489124	0.0483603	0.0464704	0.0446894	0.0436174	0.0426368	0.0416647	0.0403585	0.0389655	

32	0.063	16	0	task-3:0.402	task-0:0.39	task-1:0.402	task-2:0.49	|	0.0547762	0.0998868	0.0995746	0.0832415	0.066944	0.0617605	0.0542686	0.0544933	0.0560272	0.0552569	0.0549156	0.0548058	0.0553388	0.0552635	0.0545853	0.0545971	0.0545366	0.0545933	0.0542587	0.0543526	0.0547386	0.0542662	0.0564158	0.0524501	0.052201	0.0504387	0.0467393	0.045781	0.0438151	0.0418982	0.0403443	0.0392776	

37	0.078	16	0	task-3:0.482	task-0:0.314	task-1:0.08	task-2:0.454	|	0.0676292	0.11978	0.119286	0.0980133	0.0621263	0.0563758	0.0624422	0.0598823	0.0547183	0.0568355	0.0554156	0.056069	0.0554788	0.0567881	0.0585828	0.0571057	0.0559701	0.0552598	0.0554089	0.0557462	0.069149	0.0677799	0.06763	0.0514083	0.074111	0.0515414	0.0516806	0.0502583	0.0638034	0.0713478	0.0737819	0.0539349	0.0506764	0.0492843	0.0460961	0.0412645	0.0347523	

32	0.062	16	0	task-3:0.402	task-0:0.39	task-1:0.402	task-2:0.49	|	0.0547762	0.0998868	0.0995746	0.0832415	0.066944	0.0617605	0.0542686	0.0544933	0.0560272	0.0552569	0.0549156	0.0548058	0.0553388	0.0552635	0.0545853	0.0545971	0.0545366	0.0545933	0.0542587	0.0543526	0.0547386	0.0542662	0.0564158	0.0524501	0.052201	0.0504387	0.0467393	0.045781	0.0438151	0.0418982	0.0403443	0.0392776	

37	0.078	16	0	task-3:0.482	task-0:0.314	task-1:0.08	task-2:0.454	|	0.0676292	0.11978	0.119286	0.0980133	0.0621263	0.0563758	0.0624422	0.0598823	0.0547183	0.0568355	0.0554156	0.056069	0.0554788	0.0567881	0.0585828	0.0571057	0.0559701	0.0552598	0.0554089	0.0557462	0.069149	0.0677799	0.06763	0.0514083	0.074111	0.0515414	0.0516806	0.0502583	0.0638034	0.0713478	0.0737819	0.0539349	0.0506764	0.0492843	0.0460961	0.0412645	0.0347523	

37	0.078	16	0	task-3:0.482	task-0:0.314	task-1:0.08	task-2:0.454	|	0.0676292	0.11978	0.119286	0.0980133	0.0621263	0.0563758	0.0624422	0.0598823	0.0547183	0.0568355	0.0554156	0.056069	0.0554788	0.0567881	0.0585828	0.0571057	0.0559701	0.0552598	0.0554089	0.0557462	0.069149	0.0677799	0.06763	0.0514083	0.074111	0.0515414	0.0516806	0.0502583	0.0638034	0.0713478	0.0737819	0.0539349	0.0506764	0.0492843	0.0460961	0.0412645	0.0347523	

37	0.079	16	0	task-3:0.482	task-0:0.314	task-1:0.08	task-2:0.454	|	0.0676292	0.11978	0.119286	0.0980133	0.0621263	0.0563758	0.0624422	0.0598823	0.0547183	0.0568355	0.0554156	0.056069	0.0554788	0.0567881	0.0585828	0.0571057	0.0559701	0.0552598	0.0554089	0.0557462	0.069149	0.0677799	0.06763	0.0514083	0.074111	0.0515414	0.0516806	0.0502583	0.0638034	0.0713478	0.0737819	0.0539349	0.0506764	0.0492843	0.0460961	0.0412645	0.0347523	

37	0.078	16	0	task-3:0.482	task-0:0.314	task-1:0.08	task-2:0.454	|	0.0676292	0.11978	0.119286	0.0980133	0.0621263	0.0563758	0.0624422	0.0598823	0.0547183	0.0568355	0.0554156	0.056069	0.0554788	0.0567881	0.0585828	0.0571057	0.0559701	0.0552598	0.0554089	0.0557462	0.069149	0.0677799	0.06763	0.0514083	0.074111	0.0515414	0.0516806	0.0502583	0.0638034	0.0713478	0.0737819	0.0539349	0.0506764	0.0492843	0.0460961	0.0412645	0.0347523	

37	0.078	16	0	task-3:0.482	task-0:0.314	task-1:0.08	task-2:0.454	|	0.0676292	0.11978	0.119286	0.0980133	0.0621263	0.0563758	0.0624422	0.0598823	0.0547183	0.0568355	0.0554156	0.056069	0.0554788	0.0567881	0.0585828	0.0571057	0.0559701	0.0552598	0.0554089	0.0557462	0.069149	0.0677799	0.06763	0.0514083	0.074111	0.0515414	0.0516806	0.0502583	0.0638034	0.0713478	0.0737819	0.0539349	0.0506764	0.0492843	0.0460961	0.0412645	0.0347523	

32	0.062	16	0	task-3:0.402	task-0:0.39	task-1:0.402	task-2:0.49	|	0.0547762	0.0998868	0.0995746	0.0832415	0.066944	0.0617605	0.0542686	0.0544933	0.0560272	0.0552569	0.0549156	0.0548058	0.0553388	0.0552635	0.0545853	0.0545971	0.0545366	0.0545933	0.0542587	0.0543526	0.0547386	0.0542662	0.0564158	0.0524501	0.052201	0.0504387	0.0467393	0.045781	0.0438151	0.0418982	0.0403443	0.0392776	

37	0.078	16	0	task-3:0.482	task-0:0.314	task-1:0.08	task-2:0.454	|	0.0676292	0.11978	0.119286	0.0980133	0.0621263	0.0563758	0.0624422	0.0598823	0.0547183	0.0568355	0.0554156	0.056069	0.0554788	0.0567881	0.0585828	0.0571057	0.0559701	0.0552598	0.0554089	0.0557462	0.069149	0.0677799	0.06763	0.0514083	0.074111	0.0515414	0.0516806	0.0502583	0.0638034	0.0713478	0.0737819	0.0539349	0.0506764	0.0492843	0.0460961	0.0412645	0.0347523	

32	0.063	16	0	task-3:0.402	task-0:0.39	task-1:0.402	task-2:0.49	|	0.0547762	0.0998868	0.0995746	0.0832415	0.066944	0.0617605	0.0542686	0.0544933	0.0560272	0.0552569	0.0549156	0.0548058	0.0553388	0.0552635	0.0545853	0.0545971	0.0545366	0.0545933	0.0542587	0.0543526	0.0547386	0.0542662	0.0564158	0.0524501	0.052201	0.0504387	0.0467393	0.045781	0.0438151	0.0418982	0.0403443	0.0392776	

37	0.062	16	0	task-3:0.482	task-0:0.314	task-1:0.08	task-2:0.454	|	0.0676292	0.11978	0.119286	0.0980133	0.0621263	0.0563758	0.0624422	0.0598823	0.0547183	0.0568355	0.0554156	0.056069	0.0554788	0.0567881	0.0585828	0.0571057	0.0559701	0.0552598	0.0554089	0.0557462	0.069149	0.0677799	0.06763	0.0514083	0.074111	0.0515414	0.0516806	0.0502583	0.0638034	0.0713478	0.0737819	0.0539349	0.0506764	0.0492843	0.0460961	0.0412645	0.0347523	

37	0.063	16	0	task-3:0.482	task-0:0.314	task-1:0.08	task-2:0.454	|	0.0676292	0.11978	0.119286	0.0980133	0.0621263	0.0563758	0.0624422	0.0598823	0.0547183	0.0568355	0.0554156	0.056069	0.0554788	0.0567881	0.0585828	0.0571057	0.0559701	0.0552598	0.0554089	0.0557462	0.069149	0.0677799	0.06763	0.0514083	0.074111	0.0515414	0.0516806	0.0502583	0.0638034	0.0713478	0.0737819	0.0539349	0.0506764	0.0492843	0.0460961	0.0412645	0.0347523	

21	0.046	16	0	task-3:0.454	task-0:0.238	task-1:0.538	task-2:0.536	|	0.0613721	0.0999695	0.099923	0.0967853	0.0654985	0.062146	0.0563356	0.0550452	0.0548439	0.0545512	0.0546242	0.0543384	0.0538123	0.0531482	0.0523143	0.0516805	0.0515825	0.058734	0.0490724	0.041207	0.0396354	

23	0.047	16	0	task-3:0.456	task-0:0.25	task-1:0.51	task-2:0.452	|	0.0723178	0.0997822	0.0994282	0.0836074	0.0641122	0.0573192	0.0555371	0.054901	0.0546959	0.0545246	0.0544351	0.0544337	0.0544552	0.0543974	0.0541974	0.0536735	0.0520523	0.0494066	0.0499803	0.0745056	0.0796628	0.0488542	0.0372224	

40	0.063	16	0	task-3:0.388	task-0:0.396	task-1:0.218	task-2:0.362	|	0.07842	0.119222	0.116559	0.0891639	0.0549979	0.0707088	0.0610949	0.0546562	0.0545898	0.055025	0.0550855	0.0544851	0.0551282	0.0558358	0.0557011	0.0569532	0.0581744	0.0540096	0.0467065	0.066125	0.0476757	0.0503788	0.04827	0.0447594	0.0456363	0.047176	0.0471966	0.0449752	0.0452348	0.0449317	0.043873	0.0435131	0.0434767	0.0436286	0.0442108	0.0452953	0.0467903	0.0497538	0.0491471	0.0350405	

